""	"CO01"	"CO02"	"CO03"	"CO04"	"CO05"	"CO06"	"CO07"	"CO08"	"CO09"	"CO10"	"CO11"	"CO12"	"CO13"	"CO14"	"CO15"	"CO16"	"CO17"	"CO18"	"CO19"	"CO20"	"CO21"	"CO22"	"CO23"	"CO24"	"CO25"	"CO26"	"CO27"	"CO28"	"CO29"	"CO30"	"CO31"	"CO32"	"CO33"	"CO34"	"CO35"	"CO36"	"CO37"	"CO38"	"CO39"	"CO40"	"CO41"	"CO42"	"CO43"	"CO44"	"CO45"	"CO46"	"CO47"	"CO48"	"CO49"	"CO50"	"CO51"	"CO52"	"CO53"	"CO54"	"CO55"	"CO56"	"CO57"	"CO58"	"CO59"	"CO60"	"CO61"	"CO62"	"GR01"	"GR02"	"GR03"	"GR04"	"GR05"	"GR06"	"GR07"	"GR08"	"GR09"	"GR10"	"GR11"	"GR12"	"GR13"	"GR14"	"GR15"	"GR16"	"GR17"	"GR18"	"GR19"	"GR20"	"GR21"	"GR22"	"GR23"	"GR24"	"GR25"	"GR26"	"GR27"	"GR28"	"GR29"	"GR30"	"GR31"	"GR32"	"GR33"	"GR34"	"GR35"	"GR36"	"GS01"	"GS02"	"GS03"	"GS04"	"GS05"	"GS06"	"GS07"	"GS08"	"GS09"	"GS10"	"GS11"	"GS12"	"GS13"	"GS14"	"GS15"	"GS16"	"GS17"	"GS18"	"GS19"	"GS20"	"GS21"	"GS22"	"GS23"	"GS24"	"GS25"	"GS26"	"GS27"	"GS28"	"GS29"	"GS30"	"GS31"	"GS32"	"GS33"	"GS34"	"GS35"	"GS36"	"GS37"	"GS38"	"GS39"	"GS40"	"GS41"	"GS42"	"GS43"	"GS44"	"GS45"	"GS46"	"GS47"	"GS48"	"GS49"	"GS50"	"GS51"	"GS52"	"GS53"	"GS54"	"GS55"	"GS56"	"GS57"	"GS58"	"GS59"	"GS60"	"GS61"	"GS62"	"GS63"	"GS64"
"CO01"	0	69.2244959862957	41.9739312139773	37.5783166116898	32.7699590395824	23.1471790652376	27.5169873094962	33.2401977937545	25.7476778026419	23.6423411159168	27.8599636606378	50.381884971866	26.2719530447481	44.8684894482707	28.4317147483894	55.8205726100186	27.7652898164622	44.1004554995863	34.9311687303154	27.0669474650459	55.2900496318722	30.597803354195	61.5794362880282	60.6565481543969	40.524287237817	21.146867286193	31.4727533963323	23.1630960723334	28.7720589072879	32.4047139610623	29.0873747880772	54.8092650679626	39.8593821225454	45.0825333375545	63.4760697228682	57.7211085820579	56.7751635257475	26.0256064365425	36.485280522507	38.1921656130587	42.6656517462522	26.4451106934271	46.3727722223939	41.3919701672492	40.5542404075399	37.9815164332787	49.3054457278301	43.2153774439132	40.9911273060967	46.8282882163574	47.2142782201848	40.9587184162963	24.9931358295501	35.7467582232295	30.5126380218709	53.2987201543258	20.2298221407083	33.7875374094758	33.9345713647497	33.1194745311985	31.09928270593	50.0778353676885	44.7651350601237	42.0208861903637	43.3004994241089	62.0983550568891	61.0855949749134	26.7943806973505	33.030691635881	41.5521998441444	54.2028549005941	52.9494587993165	27.1378261539203	31.7265690096625	53.3698569416336	54.8297496986525	49.4802457808783	43.4000173606831	44.3323498492056	51.3481943269625	45.2780604214762	43.8546492893658	26.0016507215697	27.1264067379832	34.6258361326053	36.9860009668332	30.7300783265361	36.8746511161023	40.3895087239823	42.306861305449	41.5027125329498	35.038364212162	51.8994115695016	39.2895917495918	39.5971361819176	63.7218621844477	27.3436976787487	33.3195466625313	36.1272087312306	38.8857124956771	41.1607159337332	32.4259319228749	37.3865588905132	44.2170551475906	31.3835697761622	45.8621249290084	48.9971382214038	46.9289731461246	38.8404871651022	48.0346814426271	56.7320931368557	56.9697260141623	39.2162369373518	36.9720933824731	32.6187664552615	61.6284094732127	46.5443617827275	43.0084609124529	43.579702019176	42.8515296186742	32.8355293694275	27.0343530637708	40.1210333489876	40.4633785193227	27.0441924020052	27.6632754609459	33.3491868550981	34.0273578833857	71.3850755511949	26.325429192596	55.5525130538869	35.7172402271566	47.8409696079128	27.0024041270476	27.0165551587737	30.6451728279414	32.0073455771436	34.1002237749787	32.8213014843614	37.3384315294264	38.9384112564184	47.7656014151987	41.5033677019745	43.0973129763473	44.3274941225852	31.9889303321622	46.5342557943096	39.3338176927827	46.215944617698	49.0541001714415	58.4657676458274	60.2485179510023	59.8572351631258	54.5002238914708	29.3084358941741	52.7800157892797	40.3857588685991	50.3568104485785	44.0623048266439	51.2969787250595	23.6857458286464	36.2465061120595
"CO02"	69.2244959862957	0	59.4802132674571	62.2596678188038	66.412075746114	70.889661389738	64.2740683891035	66.7709254226763	71.1208574879222	69.4767890093851	69.8984498127101	57.299095386809	67.3368205987972	63.1084445573228	68.1686231435968	50.1213180629148	68.7185231627832	55.2030733589202	63.9130741973223	66.4004311252707	52.3398303278389	62.8829841362444	50.9235635864546	52.6012240303783	58.9122679594954	68.592136206336	62.5593800304028	72.3997349352541	63.6957852744423	63.9195526203712	67.3110449168263	53.0852905414952	58.7681155504453	63.9468060660507	54.7678403565223	52.9094631949333	55.6422805719562	63.5791895927733	69.1074066354263	60.9639416836075	71.4047745109735	73.3462368216279	56.6542143623512	62.6476646521344	59.5878734079656	61.4743350873116	65.1780646672043	63.092232134411	60.9773210231571	54.162055433731	56.2469855866011	62.9733888464331	64.5092741015665	69.341006504382	70.4867533678758	52.9655621878854	68.8463030099293	72.3265484655903	65.9543617443633	65.8826828391598	67.1087093905393	54.1544506999045	71.8634050312578	75.9880165497504	65.8267412170396	64.3337898898492	62.2517860516184	65.3209730581927	63.6667091103811	67.6038648368131	58.882749172923	60.0072440511322	74.1841639706641	76.5248948544091	71.9001429208307	72.8812397029248	72.7049668643663	58.182154562713	61.5425311376086	63.2765874486233	58.8536457139155	67.8578407983577	74.6235620993971	73.7849199312563	75.6770701166886	75.5029346371806	65.8902795039354	65.4679981965108	66.3850481506632	67.2544580451605	66.9583714420086	65.8298720526026	74.9623379044308	64.7584986660205	64.7039774352646	82.3150959336261	73.0286552712382	67.5397120393043	60.0096497757442	59.5391578577172	65.4450890822976	63.8394135620319	64.05362888478	66.9591899202819	65.1848576750636	59.4142444961793	58.4770915709018	58.172644656466	61.1677574771708	56.4838174621362	68.6497363845503	66.957458268541	62.3615235405444	62.9451532677	62.2744336025449	53.5412606336135	56.5148674829005	55.7976333242567	56.6312939352479	63.9028551798397	64.5433843361874	69.3590073525713	61.3913418847768	61.0853259251584	66.060570995814	67.550165045272	64.0639529031054	63.1156491175125	57.0333772640778	64.8274999853686	77.0177105552971	59.5845144443756	59.1720919157064	66.0977427050151	64.8467229376392	66.0284903504129	65.1807368444479	65.7793570709991	62.8398168453153	62.0176514705916	61.3626390322061	54.8962065090038	56.6744244506908	59.0840176795241	59.6500749551848	62.6835991407807	54.6507473641817	72.8172140867249	54.2562656904865	56.5967681127108	54.4196682052691	53.2048429150516	55.5014625984498	53.0476762581729	70.9729049314767	56.9948564770672	62.6468135817576	56.2632318143169	56.3336768760495	54.0664435647534	71.3491801077606	65.9702214390215
"CO03"	41.9739312139773	59.4802132674571	0	29.3199124729939	36.9146846021549	43.7557401775709	40.4303878775781	34.8329018224408	42.6914382000358	43.6598393702661	42.2164998430894	50.9923940148324	35.2904369047136	28.8035309756755	38.5111729304381	43.3429619926109	41.8027656117077	40.8689737496948	27.6015640177809	39.3708566740948	43.9398776713059	32.0523694102186	48.8894083740741	49.4597878871784	31.1636089589922	41.0304759762333	31.6073732745979	46.2411438492709	33.6150179652857	35.4491792954028	39.5155280793967	40.3551189848997	29.47329850235	39.3696208454017	56.476144319235	47.5788579572829	51.8660630648412	37.5916656440823	49.7299298661995	30.0825773438109	42.8319844299651	46.7374370932087	44.3275705762274	28.2787111524725	26.4529834822074	27.0953905112911	41.6989222736942	42.7992873990534	44.2857566234786	37.6384679412737	39.7590620635753	32.9111736754103	38.309216356029	46.0401284764319	44.9861343810508	47.331564916123	39.0104712495388	45.3698139993276	33.9065652133744	37.4564809341832	34.5334303732606	44.5434061265529	47.1008280248889	54.8806871930173	40.065308287334	54.7379627802024	53.3709924887195	33.6333892391705	35.4097360599333	42.8446323541569	45.6977316390569	49.0311031487904	49.2076137710581	52.3686446406382	50.8597599224775	52.4146316533699	53.8062583257651	42.9180829104387	42.5055179681092	47.5594881711223	43.3201250834009	51.8146329473343	50.7824969344059	50.6990158127227	54.5861059303875	55.2719500648075	40.3544227258078	40.8695038154948	47.1646750759632	42.2190705682097	40.9132142321065	39.0239256157394	55.5310120901557	44.4445628858947	42.1138431521245	67.2574036883426	45.2490915000035	36.6330440426033	33.9440780657723	35.0234926737024	39.4363507777261	37.2197770000463	43.3383717324102	44.3072990866376	39.2181945772853	48.242955868281	50.0960589663606	38.1273537757394	33.0077342596387	34.2375114234368	56.1339442961646	54.0953854935773	33.1337245431222	33.2423410674576	35.6924075488489	52.3504539232058	43.9326215294617	39.0675552178183	41.4016240968703	37.4570681968614	31.8046140422343	41.0036776774426	40.8553774960494	40.0342234027874	34.6581649745323	41.2346068639287	39.5325634441897	37.7850162923935	68.8815357866654	38.696802821609	60.0087918470699	30.2681832559678	38.414208985317	36.0905955253192	34.9645886871735	39.943376547701	38.4375817488454	40.2221143985817	38.3128316218774	33.4382739745056	31.8786749932172	35.0364831935314	33.2095266500376	31.9019233811445	34.8716131318703	32.5310825163543	45.6337346336812	44.5221781060201	39.5837395633355	35.5391507826625	44.3483164212151	49.0953882173736	51.1256983348741	49.0039118883685	41.317768525644	38.3752347235439	30.092875651709	46.2545281316053	42.5136562232277	46.851030227308	42.797325060759	41.6292921432356
"CO04"	37.5783166116898	62.2596678188038	29.3199124729939	0	31.4171431407401	41.1593011433694	37.2741542860225	32.7501224460611	40.696932100546	38.7828510491808	39.6606123042571	49.1435416068101	31.7524023399472	29.5575586749042	34.8905696738026	47.0125916396418	40.1870129585293	39.1929448688893	28.9759939567395	35.4864905718513	46.8002311597138	30.9384990275495	51.9712936554807	51.7616870709305	29.3884228785927	37.3249627296719	33.5058083707539	40.8961267274274	31.9032402001496	33.0600202991867	38.0102734349696	45.825577692434	28.1149309686001	37.5173875297018	58.1348647271498	49.5086782033029	52.6486142712112	34.7721250057391	46.7250535746259	31.7868901886196	46.0027440569175	42.6396064426969	44.3517654791072	28.4922145838985	28.7696824012431	27.3000674118699	40.3030105001287	40.0320191160079	39.4418833704154	37.6242857548251	39.2052811092374	33.8173581447392	36.243669802683	45.110823869185	41.4069647219698	47.6092690268413	36.1959970011194	43.0251240945166	30.2856187725582	32.6490542967528	30.731596883248	45.5020163059794	48.1280266505476	53.7778718499151	41.4358919180156	60.1802769066317	58.9063959835037	32.893655826801	36.9277493876897	44.2269995229396	48.1982623071913	49.8305414651752	44.2346189446372	47.7522005313414	53.6290051639849	55.1361354466883	53.4151544909194	43.0256425862498	43.6447492332981	50.9722193353923	45.7620811301833	53.7827944068692	47.0973418774935	47.2933638015702	51.6070994690819	52.8916178048023	42.2284099400934	43.8267512467124	48.1957429748501	44.91354191558	43.4759521461472	39.2601159518333	56.2808879835388	46.5801180801532	45.8549870166165	69.0639654115508	41.5446545861321	36.0304293090774	35.3325343188756	38.585841753742	40.4661835369611	37.6595556630614	43.0969634037872	43.3186105114985	39.5836565261488	46.5952404846586	49.2074876168317	38.1752699230839	30.9188940217401	35.0413149655778	56.5398591344404	55.3558082777788	31.185097915329	31.3337523104337	35.3975893118479	53.8827050509207	42.8556697515055	38.2995622677466	40.5362167871223	34.7143786578335	31.1764088108997	37.2883708841685	38.5089975380323	37.98848359789	30.6977385166531	39.64379362723	40.4274254199219	39.3773388141927	69.0216737710768	37.2734462699794	59.026625660735	32.7197553542406	38.9142019269709	33.6511830614547	33.3974142431913	38.6462194467148	38.5435965360188	35.7744605396042	38.1530606912077	32.6909238971599	31.8397697040812	37.7086890026098	36.7224835017258	33.3167140310492	34.8388137164272	33.3493965772054	45.7717926301736	44.538213684501	41.4093498011724	38.1615526753212	48.3688958788635	52.5667889898215	54.1905886142354	49.8175905702463	36.1709334933753	37.9794905118471	28.1455820079568	45.5238421677555	41.0170142773791	47.41677252956	38.7516345530121	40.946334075124
"CO05"	32.7699590395824	66.412075746114	36.9146846021549	31.4171431407401	0	32.8431015597149	33.2213834655226	31.9795237221578	36.2503249408755	32.7606725671774	34.3750164469956	47.9982135589325	30.6009066620126	35.3848588923909	32.1564128172669	52.1302593651618	31.6078295849553	37.3020827017836	33.0390852216314	28.725076724811	52.7301818364803	30.5930229494342	54.7388836432751	53.2294448799528	32.3940116476174	31.8098113228516	35.4617043740314	34.3764530054026	29.299609029216	29.5626714034653	35.2859856394621	50.4052809274184	34.791014764295	40.5736564243032	60.5755456495795	52.8563794779711	53.8368560426783	31.5327898042632	42.7251173815219	32.230936384406	48.8704958869983	37.7130861636185	42.2186872615989	29.8178997053584	36.4507044858177	28.5664118087157	44.2008632173774	40.0437926015348	34.7795141259128	42.6075825469555	41.0420238617121	40.2953509202023	30.5818440602584	42.5300443889164	34.596950724474	49.5964050324341	30.5640116029828	43.0796215788836	28.5712262778912	26.5010666189095	27.7596394602536	47.5928566991767	50.9703500903253	51.1005211919977	44.6120270060527	63.5524508442245	61.9369503187194	31.4977596398511	39.5091743623177	44.5201798110401	51.4920437915566	49.7453078106906	39.3085095965158	43.1902039541111	55.076471549055	56.6412763145273	52.4592529007655	44.6145473164595	46.585559697063	55.108980874363	48.2399503265166	52.3548430612435	42.102413765804	42.3487632075098	46.2685318359546	47.4346472231632	41.414463229884	45.5795192649851	46.1938121247595	45.7877033257349	44.5034788926672	39.3211266280655	54.9096516720063	43.7063495515078	45.9888447204805	71.6246535938989	36.4029353335538	34.2168024927014	35.3074018649429	37.6440630257008	42.634021050873	34.4125662555391	40.2235026858689	45.743292963662	34.9659791692063	44.2145389498261	48.0592751293967	42.2671127468574	33.6982960977563	40.8631885327095	56.0015594451657	56.3691488984749	30.7801334257419	29.0509492141837	32.8272144097199	58.0032076427934	41.1922186638611	39.1340601344094	39.3922140732812	31.6643878404807	31.143720159539	31.6553171452154	32.6980135857999	32.5418136063173	26.8333865914041	33.1872226923292	39.8852669472273	40.3237452593696	69.8930558887733	34.6899260703611	58.3298166236984	34.6835453243831	46.5710947705658	28.0994379801275	29.6647392842577	33.0570770184256	36.0064197866746	27.9710662217759	36.761043377675	31.2441545974207	32.1629370944587	45.2147622928989	41.9628349610795	38.47163744584	38.6112491706443	32.797305983592	47.2894103605821	43.9908199968672	42.8752698400195	41.5727429976815	52.3552923398033	54.7140396244789	55.4229466938113	54.4363836868824	30.1966201125003	44.0761432143901	31.3199234737495	47.3515071950338	43.2478127813024	49.372678566856	33.1218372741256	40.5262081943388
"CO06"	23.1471790652376	70.889661389738	43.7557401775709	41.1593011433694	32.8431015597149	0	31.5876869812053	33.9480100010468	25.1150187672214	28.4185195049923	29.6311848820393	50.4764253666163	26.8007622858636	46.9715993933784	28.3152084266539	56.9009051857641	27.7554434729458	46.3470107041112	34.7952189649445	27.428069702414	56.219915076961	33.5252697683074	61.9037228913335	61.0990127935162	43.1850781930052	22.3491049170725	32.4708574940837	24.6929916655353	30.3519778781785	33.0760974227659	30.7041613086724	55.7227335651792	43.237657445254	48.8600182026785	64.4179276910631	58.7615316659607	58.383236249709	29.2451042056722	35.8079794864291	38.1910668320589	42.0265826099053	24.9755923045133	48.7612252999738	41.5392904964468	42.249125473619	39.4259928130099	53.0417698238343	44.895091786443	42.0152771137249	48.5076562304393	48.9989722862839	42.9425011991953	28.9457711680418	37.5603601977125	29.7512352666284	55.3874245566153	24.3153744148261	36.272050558568	34.7063870675555	33.3219771608701	33.7279926689564	51.0139532714371	45.8529042464064	41.8467467705795	42.7137512873754	63.3569355982939	61.9796737090007	30.9063613048704	35.6565412075425	39.6766160557117	54.8842165875176	53.1808609813801	28.8972424903323	32.3287263846947	53.2034133130402	54.5856115055598	45.8944232378149	45.4600398120606	46.1651974402057	51.6919033786069	45.6619252110593	45.9862979771813	26.9569103217555	27.8480629527209	33.9175826045385	36.1024353016272	32.1707911750669	38.7775070346522	40.607979221785	40.7070326792349	39.8299409460392	34.0211601759733	50.5381023047337	38.6126546100069	39.5185845913469	63.8957970929685	28.0652575379896	34.2235045972793	38.2152481958504	38.1472296547126	40.4801567320668	30.6328564149886	39.597213571697	44.538879297571	29.5994998992325	47.6231852004793	50.5120695194439	49.68865250278	42.165449951993	50.5309463322835	56.976951383099	57.6445319276572	40.0072150905037	37.8983836568952	34.1779495708327	63.3813190436611	48.0076374211267	44.7760523146101	44.9803163025378	42.9373533718123	33.7456712670187	26.4101413548248	39.6374328434524	40.1809243211981	27.4888421288324	29.6332193548055	35.0184458256267	36.0258732339161	72.3441027454301	30.026234343728	56.9246445363768	37.3393236678993	51.1569025583349	26.5616480626102	27.3953461186316	35.0590176185777	37.136736612189	34.4681772227834	33.2531333246901	39.7967188971862	41.2969747376803	50.1863242554399	45.9592803792115	45.457947721766	46.3908908700854	33.7127308319332	49.5712758986371	39.3890333718507	47.2464294906223	50.3184293531466	59.8120984522076	61.7493543214313	61.3956107173238	56.7945178153118	29.4375421444675	55.3567469225408	41.6860127289635	52.2616826010499	46.6990401238472	52.2431639271169	26.1104920039469	39.0829801985608
"CO07"	27.5169873094962	64.2740683891035	40.4303878775781	37.2741542860225	33.2213834655226	31.5876869812053	0	37.1626797020021	34.3434201288426	30.8134489086927	35.8455549140356	45.6104328207578	31.7781890479593	44.5648887733857	34.3494702861233	51.3541513786801	33.7263239025002	38.0341601600438	38.2430763087572	30.6815376227976	51.8553541900214	34.0582796248854	56.1640121322571	55.3155171120159	37.2968607311327	27.7388332583944	33.3156738039415	35.7830271666917	29.6243062071565	35.0249515447133	34.4279086808703	50.4951814375349	36.7837759324832	44.0565449120599	58.1842972667465	51.0060809559935	51.02650851531	23.7171292047765	36.0162375847651	38.519235644488	47.9096501821061	35.9081217807446	41.5772073873173	41.7054799242476	38.2658460857769	37.7344777524309	48.5695917263565	38.9353581201421	38.120286336973	43.2238432080329	42.6844648670405	43.8667304038239	27.0481973765113	39.9855035432474	37.6089214761326	46.4091265926419	29.321373109401	41.4503837201694	38.7242123920653	34.9961097498891	34.4682415041222	46.3637423849748	50.1784411287735	48.4835292545151	47.189982814148	59.3099709691132	57.6654107649423	30.2084221034318	37.9431579886995	45.6824800470789	49.4112144723564	47.5912712692908	36.1738176211465	40.792056273351	57.3142531724777	58.7326110396598	54.1656719949593	40.6687155635293	43.1717789204971	50.246582788254	42.9332282845762	46.0556475525566	38.7712926285262	38.942576673725	41.6513428315728	45.1523904491564	34.4177256854986	40.0279148045849	41.4073798969354	47.0336109529091	46.3133877177238	38.258703334412	55.9838299541208	39.2098305295078	40.1618766500826	67.3826139506996	36.0292876471756	36.9995041832392	37.6352666454664	36.9050008937093	45.5271171008901	32.6906191782815	36.3026037668785	43.4880020038292	32.4307730282753	44.0137623876439	46.5565288090053	41.4222695240695	34.3774198046801	42.3964930136785	54.9781692124659	54.8150153553997	38.542196405022	36.8852573983208	32.5779128735002	56.5586488809465	42.262719710761	39.0958109777296	39.2143012738017	40.0325294385644	36.1126969451839	34.6386962400883	37.2541983815085	37.6973601786308	30.8051596499228	31.5351432193447	36.0372026413455	36.5755918257435	67.7792517518745	31.9840094299938	56.1754754455174	36.9780445457262	43.0964991722038	31.5801691001259	30.860793619188	33.2683286653995	33.9486364717687	35.7658430023016	33.6966326934544	38.1392077546541	39.2292430021718	43.7577197722471	39.7046481436561	37.9277964256494	39.7132653355168	33.4329661074773	41.8332293841568	45.3623849956254	40.902607941682	44.3914713590678	53.6414835364201	54.873635853207	54.6695378771375	50.7502339887868	36.0610428691451	48.1772305808075	41.5795393957737	44.920824564715	40.882339500093	48.4361142256582	35.3944655114557	40.1709678560157
"CO08"	33.2401977937545	66.7709254226763	34.8329018224408	32.7501224460611	31.9795237221578	33.9480100010468	37.1626797020021	0	30.5987186386077	37.0877782378655	33.4641502259442	51.3755922372026	24.3230947245018	38.0449302249772	24.0801646842959	53.5861146578582	33.4689948403333	43.8706497844622	26.4559981708465	28.229190345325	51.4971958863294	28.1483006327585	57.772508655549	57.3961820869944	35.3172634435966	29.3837403173867	29.4666207393445	33.6073480529666	27.6380341125709	26.6534663103369	28.2788761845561	50.7634570840246	35.0460131463404	39.8986416332996	61.5679863937048	54.1660950121401	56.6947805261772	33.1594905869241	43.4104519545379	32.3205813497945	41.8978033286782	34.5550187254168	46.2587955423394	33.1026640819441	33.8015671998162	29.8533970045306	43.258513231686	40.9956134629795	40.357544032553	41.4183893034195	43.9034315829658	33.5863579411953	35.6353459657321	35.4921077901307	34.6005128012855	51.1844394998505	28.7431432130413	33.4483254785883	23.9615417905487	30.2907834240811	29.278761546534	48.0043194953004	43.2148438492059	46.8074841030606	38.4218603676439	63.4303075369416	61.888740687082	25.6587433003956	36.0269483818643	35.9846609524885	50.9701801867911	51.2028991760605	38.6037957528124	41.3993855158317	46.9970144437021	48.8086379015525	45.0080756211674	46.2464394249687	46.201691761977	53.3808309706435	48.3819024099078	48.5683879035715	38.1542338866812	38.6181011341308	44.749327104214	44.1999460636882	35.229764264239	37.7630006176071	44.0973681741275	39.1689515818709	37.8581337745266	35.4152605802725	47.7105864949957	45.6285716141433	44.9412665454031	62.3573203528374	35.009259984664	28.2122406590745	32.632231873072	39.433129609061	36.9162992067447	35.5385066543629	42.1391613610458	38.811522344416	37.0522889277763	47.4641097200576	49.7593997455314	47.1387485539364	39.3936906062719	42.7224205319241	52.6597308250562	52.413433323591	34.3051345699537	33.2885008621698	30.4124595453682	58.6630972188321	46.389577801667	42.5823178365222	44.443464490251	37.4377991294508	23.3871474368391	27.2065462498534	39.0257069563907	38.5140066240719	23.8752768046777	35.8505919927536	40.7794493129425	39.9342222138812	71.435850079395	32.2222188753235	54.8527465541753	33.1965308730861	44.0450777139424	29.778344815679	29.3447654982836	35.8491318804378	35.7002331447916	35.8950501809827	32.2762340144743	35.6832292294008	35.5675180186412	43.753700018511	41.1589144466842	37.11473709548	37.34303490604	30.56783776826	49.1344197208812	32.039090880567	43.8982430869826	46.99664742562	56.5776021459618	55.621638231843	55.7848168869542	51.4056070259805	28.0499128476866	49.4299596831492	31.1695316501387	49.0923210433607	45.7696921842438	47.6838414435274	29.5947349784102	32.6687590950336
"CO09"	25.7476778026419	71.1208574879222	42.6914382000358	40.696932100546	36.2503249408755	25.1150187672214	34.3434201288426	30.5987186386077	0	30.5927261784063	26.4101636082791	54.0150632008152	27.3580783580911	46.0165512904186	26.4605865635634	57.1017656312631	29.5939786430772	48.3938770972233	31.8789306462153	27.7862408101701	56.1416420677467	32.5549212510824	63.0795789410204	62.5660472141847	44.2550986319513	26.7014527881546	30.2267863241229	26.4791379454766	31.6840616067088	32.4994664359021	26.5161672056408	56.182743635175	42.1915800794124	47.177670105087	65.7348801426148	58.9611659440985	59.9224752125903	30.8014437935298	41.2433480449389	39.5915720623602	39.9144883038155	26.48489051284	51.153348543863	41.5482959130398	42.2716103001788	38.6219385833908	51.092113320536	46.1384490808174	45.9794213421097	48.3055985291083	48.4713844253572	40.2555539803785	32.4430122773464	35.6515903563857	30.584277087689	56.2879928756641	25.3783563911126	29.16736190854	34.2314213068019	34.176581270609	32.1586153553798	52.129098187626	41.4834640686767	39.6482835623615	38.8511394658778	64.2719619201727	62.9390241557363	27.6413278816282	35.4742489248686	35.6000206366576	55.0365872575632	54.3334248027506	30.2588392845607	32.4744499881351	48.4115186843226	49.820016107428	44.0864494241396	46.6045183671017	46.7779315154438	52.6578650406516	47.7381222339925	46.0258161251881	27.8729549381515	29.7729530958255	38.5708513391766	38.3898175111127	31.0345329488935	36.1795226874896	42.3530473189012	37.5474412570564	36.5926034099019	32.4913805949329	48.3716113062012	43.3969539626313	42.9677459971764	58.3354971362423	26.0363887186211	30.8036532989403	36.0870647134097	40.795272351914	36.8067087850598	33.4749653808252	41.7261950327957	42.2475782383593	33.0577802108046	49.2352574898509	51.2675500010958	51.0332585394979	43.356024546268	49.210198036476	56.0891723617741	56.7953429338622	39.7810931493982	37.7538351287792	33.6886997106297	63.7442625644921	49.425556946012	45.9526022295557	46.8613190081383	44.3784616622825	31.3172474947463	24.4388450182913	42.1405368270157	42.2254972983544	29.0168961640551	33.9935818756676	38.4532725084791	38.5493906727338	73.9030552726433	31.3645200519532	52.2272047594347	37.4470307845249	49.3475469861958	27.8939903846676	28.2644468396069	34.5445925326246	36.7286481248442	37.6848315981652	34.7796385549278	39.5025406345828	40.2467196438919	50.4993761176542	45.215157837037	44.6527698741653	45.4370807880435	35.9506322101542	50.0317038876026	33.0834383139502	48.1523847376806	50.4274568966038	59.9738049803753	60.7152518524884	60.4499849299489	57.0130121837096	27.4084363946527	55.8021628513916	40.9847479833034	51.9966462852734	49.0181922825935	53.324272455183	22.8302798171478	34.3357570955353
"CO10"	23.6423411159168	69.4767890093851	43.6598393702661	38.7828510491808	32.7606725671774	28.4185195049923	30.8134489086927	37.0877782378655	30.5927261784063	0	27.6280705680074	50.9568286092333	31.5696690372415	45.7415029262587	34.2844039040929	55.5779447249445	29.9421997880382	44.1384966894852	38.8725158816007	32.6429439261917	57.8988488774876	35.5044790077689	61.4472672819277	60.3292566654493	40.2324218865756	26.9917744483254	36.9144313130997	30.0537987101794	32.4823681282034	34.9640501220666	35.3281775778977	56.3704911885728	40.7222739120471	42.0387133544677	64.0224010379366	57.6390504283954	57.735404658161	30.6254542622818	38.9383709494347	39.3812518014995	48.4091523200573	32.1815194882507	47.5474459635358	41.924861280522	42.5100756982266	37.5412287787404	46.4178199089538	46.252112764159	39.7798888009463	49.541085717659	46.5986501053041	45.1650347396614	27.690608391222	37.6412070048916	31.4144133277697	54.5711530119395	25.1992723026252	40.5101233020887	37.2252818435996	33.4918043318897	30.1026276825568	51.9775266078683	49.1627744315886	45.8711098361949	48.8861870001114	62.9655889813908	61.558790430098	29.9278612206434	38.603702489403	46.2209892264911	56.2643956530114	54.0245668268607	27.9815329057146	31.2360301144534	57.933761215867	59.285775911572	55.0913710762866	45.2917583924159	46.6299529830461	54.0005404958834	47.5021877005248	46.4116793800545	32.9316286990917	33.3002047039124	36.8806372899509	39.6859965214882	35.5807327238668	41.4640679183066	41.5638150623502	48.2379086433979	47.5324680541685	36.100212653168	56.5017177874674	39.9246456800008	40.6304522183722	64.9521844162567	32.0830964922855	36.3842460032486	38.5259516286749	42.1379039572246	46.8824223884286	33.3139712107722	37.3836485239252	44.4747957727817	32.6120451996407	47.1438249265307	50.6624403715105	47.4399562181096	38.8065459875712	46.7500855158929	57.922983280946	59.0368905400303	39.5113451373703	37.3222923707024	34.956753549628	61.0036685827299	45.6975764489955	43.4798949560221	43.5145747960784	41.8684743908327	36.5841654073308	32.7857014110772	40.8780446216952	41.1412301984782	30.6609082005733	26.8021183356797	36.9349948688656	38.0866479610295	72.629300586033	32.1398548240664	52.4607014280495	38.9176852486992	48.5182832667224	28.1196938481588	29.343908059081	30.4498386968487	33.7609398880999	33.1153970768143	38.3044976188894	36.2845481069255	38.3620387192189	49.9182733307853	44.0275895190496	44.2876721619346	45.2109094986275	36.3003364589372	45.9360865859659	44.6670316317232	49.0447396532027	48.4719246662373	58.2893113983147	60.8437583737337	60.7138738182532	57.5368486238982	33.2061051947674	52.1705654711938	40.6557718043883	50.3485575616066	45.308640301495	53.3518927254626	28.7232138950353	39.9955339587515
