""	"CO01"	"CO02"	"CO03"	"CO04"	"CO05"	"CO06"	"CO07"	"CO08"	"CO09"	"CO10"	"CO11"	"CO12"	"CO13"	"CO14"	"CO15"	"CO16"	"CO17"	"CO18"	"CO19"	"CO20"	"CO21"	"CO22"	"CO23"	"CO24"	"CO25"	"CO26"	"CO27"	"CO28"	"CO29"	"CO30"	"CO31"	"CO32"	"CO33"	"CO34"	"CO35"	"CO36"	"CO37"	"CO38"	"CO39"	"CO40"	"CO41"	"CO42"	"CO43"	"CO44"	"CO45"	"CO46"	"CO47"	"CO48"	"CO49"	"CO50"	"CO51"	"CO52"	"CO53"	"CO54"	"CO55"	"CO56"	"CO57"	"CO58"	"CO59"	"CO60"	"CO61"	"CO62"	"GB06"	"GB07"	"GB08"	"GB09"	"GB10"	"GB11"	"GB12"	"GB13"	"GB14"	"GB15"	"GB16"	"GB17"	"GB18"	"GB19"	"GB20"	"GB21"	"GB22"	"GB23"	"GB24"	"GB25"	"GB26"	"GB27"	"GB28"	"GB29"	"GB30"	"GB31"	"GB32"	"GB33"	"GB34"	"GB35"	"GB36"	"GA05"	"GA06"	"GA08"	"GA09"	"GA10"	"GA11"	"GA12"	"GA13"	"GA14"	"GA15"	"GA16"	"GA17"	"GA18"	"GA19"	"GA20"	"GA21"	"GA22"	"GA23"	"GA24"	"GA25"	"GA26"	"GA27"	"GA28"	"GA29"	"GA30"	"GA31"	"GA32"	"GA33"	"GA34"	"GA35"	"GA36"	"GA37"	"GA38"	"GA39"	"GA40"	"GA41"	"GA42"	"GA43"	"GA44"	"GA45"	"GA46"	"GA47"	"GA48"	"GA49"	"GA50"	"GA51"	"GA52"	"GA53"	"GA54"	"GA55"	"GA56"	"GA57"	"GA58"	"GA59"	"GA60"	"GA61"	"GA62"	"GA63"	"GA64"
"CO01"	0	49.7128277365163	50.0167691924854	51.4424952413177	49.4891365649209	40.866203409546	36.5260501569155	45.6400818364245	48.5649416474089	45.7646979811918	63.3131486959907	42.6507033204506	44.8697495153507	50.7436177958309	39.8497940832096	41.536844896591	54.5597556110929	43.5424127227042	50.563940957618	45.6777104225503	42.392814749885	46.3205493485008	44.8996978869319	47.1499523609956	47.7310012212892	44.3287081749133	45.7611221857459	40.911095619182	35.2891003463243	45.1383153067964	44.6702373915754	43.2616379520174	50.9110094620984	67.2871937175676	44.2535755777277	54.6099584811878	46.2918327859117	41.256439288339	57.8577024410385	41.0344780047731	48.1101467412279	37.3806577071212	48.7962572093787	53.54524802389	49.8386830586011	56.7797972416429	69.3913080471699	52.8665823623336	50.8891437816987	51.9588935002322	51.5834470099757	50.1943384252171	40.9892371608098	63.4544041924967	56.854811051014	47.4284537937842	45.0148289909397	47.6743242671508	43.1153786593853	50.3020817228035	53.1727429598062	53.9914589044277	42.0892814087193	46.4840506485032	50.8606701112207	52.8543293373366	53.7709947768618	40.2766488202393	48.1202128049044	59.9463969114727	55.5475400409963	50.6893228553322	47.9186948576844	47.9474018989401	48.1708635158807	46.6816598987643	51.6566988687188	43.6858264821816	42.837639286757	44.8942224644665	45.944447381496	45.4668539314551	49.7545937190195	58.1488290253062	49.1317949472973	50.7563910142209	47.9059287719823	60.656910692799	48.5802290452948	47.7305129521782	80.1586408687052	47.0578087251101	49.6835574193248	50.2939242525525	71.3195239258244	48.5504831376556	47.2780270602333	51.2178227582047	51.544151053159	51.1304885296336	63.2144728664004	57.0927029602566	56.3557506588302	54.8132073668513	49.188506813849	55.3656755245596	56.8815126899323	45.7695494393988	44.2437648318406	57.302151089812	52.1720542669432	41.489715999197	45.0203281033145	47.2150700916556	42.8079895938079	48.2687436522385	44.9290035244822	38.8546342998298	45.0549772019152	47.451142093968	73.7628738709151	43.5832854808446	59.9481932027394	44.8483832278655	47.2718170803484	58.9545946237704	58.6255697579009	54.9851039316256	47.8812780497793	53.2201268346131	56.3840518145444	41.9532489989986	44.8766669768199	51.1643718654327	54.6085068430909	48.8477175155446	50.9755110147191	51.9879137888784	48.6954614681791	61.8009416158904	57.3565606442112	56.2649103203287	55.9498851782371	51.5254836096315	42.8535745905041	54.7962742516619	51.3798720370129	51.4095693733099	42.3529811347206	47.0927258865413	47.604033885744	59.8012921451838
"CO02"	49.7128277365163	0	39.4770736844067	46.0754417391465	49.9154570317994	47.0295527984721	37.852621575758	40.1904377668829	39.119007224803	46.0797173802097	49.7061544173269	39.0013787507015	42.1703924251216	44.9769853797091	43.4068739941178	36.9096344766909	47.2649346609244	36.2356077325059	44.0803669141913	40.6359332464318	39.4194804349499	37.7623842694195	40.5922475388427	42.7078071681727	47.6082454621261	49.3222710428928	34.2144060109466	41.4234938441761	40.6684813894765	39.0545560766813	34.3988159729744	36.0724494946462	39.0421519456748	53.6783439010262	37.9022759346735	38.0402100070376	39.3624005655099	39.1799317306704	56.5466511355254	41.5442561137985	60.3714319242381	48.6937835111099	43.6960470206343	42.94699591381	46.1156924716723	39.8781520872502	55.2326321585124	42.4763364404548	41.7918674899677	43.1255324201408	40.2270221364465	45.3508167919913	39.8544917115533	47.4321693170629	44.2320795391446	37.5129689828428	45.9548582260373	42.0302232041148	43.1490895268255	43.3737238944209	42.2179445723756	44.5837792322577	40.8653750670963	45.594248155992	38.2314174073558	49.4503730001019	45.6207914916828	49.7105174653934	51.9168717816876	41.0155523727816	41.3164684316474	47.1579713979683	46.9990495650804	50.3422407412038	53.2473118400508	46.4161053810775	55.0371052691731	48.4754070794659	47.0006565530875	59.1922755985581	53.5859456631275	47.2488238553922	42.4225557309883	50.0551387022204	47.6946674771404	46.2040751377076	33.7945544758497	49.4715297915985	52.5824652298287	47.9996324828362	67.6625390024568	48.0907893498195	43.821192467046	42.7189420809305	53.280589132536	35.7108978378259	38.4070261715188	48.0328659100431	49.5704830899124	34.8159733114243	47.69281315194	43.9220469889588	48.7544320953909	47.3750803002522	44.563737309045	42.0905211619392	42.4034786183795	38.7507153983597	39.4190824995288	51.4540310686027	44.5325434723781	40.9431168034028	38.0714670426417	37.8718272468176	48.8665667013922	45.4406783861816	51.5796470148692	45.7463364396716	46.6535393417607	54.0121566995417	59.4049559664549	46.1318788792841	45.6340491632325	44.2375966731038	50.3274709711267	45.9270089521134	45.6396779917463	47.5620718824174	55.4299432940582	41.8710009678795	45.5529066620566	46.0703648094308	43.7575732826089	42.4192785130426	44.9018742334667	47.8796108712356	44.9644137618692	41.8684457842139	44.6310226471367	50.5581430735786	51.4780799873735	38.3674594748548	37.7673080500002	52.5483082508874	43.5275469926568	48.1209049382045	40.5942585835519	36.5660619435676	36.2894664123661	42.4059509343763	49.0086550054094	46.5449609111303
"CO03"	50.0167691924854	39.4770736844067	0	42.5219204065106	43.3231914302859	47.3318677361146	41.0388839547743	36.5101412188018	39.9837761559408	45.4071743212899	44.5784932930238	40.9129270675289	42.0176410015517	35.167568410327	42.0372905796303	35.5922635061912	47.1249764417805	39.1778712657741	38.8594882113476	38.7234566866943	42.754443306239	32.9336948789732	35.8763051533235	36.3600006636717	40.7885106819166	54.5936797480577	36.8632991113594	39.2524862782746	38.8188865678473	41.2452287837784	43.3625389976671	41.5656056222542	32.503984424333	48.5817726179347	44.9075238610213	39.0174194688154	41.6885994198614	37.1313327583047	66.2788241795554	49.2568378158448	62.594840352606	53.2145624955314	51.5097417486078	38.8438832968113	41.7611846173643	35.681122643886	49.7967922257283	45.0190312166187	40.6275898130539	40.4301277327537	33.6394976025272	47.8557697155294	40.7936581858684	53.4004500206076	42.2573785692701	39.2191444194518	40.1512235254882	42.1993164456637	37.9768937066201	41.2928326679869	33.7126591197507	49.6171283105599	32.5738257933058	45.2460189295614	41.5669101659674	53.4831866426477	49.5300427486564	50.5517832165357	52.787076677303	48.9500907355644	45.8555602046224	56.8190254528122	54.5632870159699	57.0627424338702	55.8445719676969	52.0237440991475	58.7034585459704	52.950183052056	52.5322123893726	62.6520652711548	58.8908689562584	48.8421855505092	44.4491290973876	52.550766942019	50.6935992053134	47.3601714396843	39.3004844618942	56.3622979750289	55.1353414348199	50.8958730266599	69.8382703840716	48.2413636430818	35.0670037532734	41.8031241000052	52.7611277294594	38.1595991489522	40.389324045859	42.8142359579236	42.9344127274423	33.5708320097128	50.2254520714029	46.3095054999593	42.5465311629024	41.3436499520344	45.8375749543522	51.7793491679438	42.880312612319	39.1221450902035	41.1217563456707	45.8667685050547	42.7366975666233	36.8631162163057	42.4638279685834	39.4507965852331	49.1511633397272	38.0566329117383	48.1779814150742	43.0330505086037	53.9913360481735	55.0520609908025	60.3182240677736	41.5981688031686	45.5537822694153	37.6112742364709	45.6356539460634	42.4636488490684	39.480315515403	43.8833087775186	64.5893073235713	34.7621230286229	37.7989751822676	54.8457841782771	44.3724955689314	44.1881028780503	44.4929798512674	53.0993001145754	44.0777592163671	41.7798529186146	51.1033308807627	44.652812586061	47.0292841872404	42.2402320051755	42.2889662176724	63.0000342245879	39.2812048793842	44.5750226956628	30.3242256517772	40.0167984935143	42.5629915887908	44.4420142460682	44.2935498998412	45.5436666917052
"CO04"	51.4424952413177	46.0754417391465	42.5219204065106	0	35.8685164654495	48.5650775174541	43.7076445397945	37.6558991420725	49.5042535933504	48.015795443562	53.6959429871369	42.5677005971951	40.4539861989409	41.4294406905715	42.4686649783334	38.4531690001325	52.0569445336754	41.2336561046697	46.4681752426454	43.2891817205271	46.8538571020521	39.4962248921813	43.1583954036017	43.6247896219546	31.2098545191604	44.3202594663111	42.4665961685627	42.6081455037638	38.5810273559357	44.5458263802274	46.1502531851246	50.9020590601337	40.6518437505362	57.5577114831726	49.1373637455379	45.1966444450177	45.2577277929444	43.5251001753884	68.1465685663086	51.8635996721588	58.4521171550163	50.3294529811839	54.3448854193704	32.762368849542	37.743527910866	40.0335113483958	59.1498210670872	51.1431604649466	44.4898680002606	45.4112000262111	37.6001671260748	42.3410220782646	45.116777227837	57.7106217877012	50.8768550439989	39.3933705997661	33.4074170019659	47.184730469868	43.7772695117069	37.3863176696453	41.2991700027835	43.8657781537312	43.4917594073853	38.8591925963996	49.0914043420036	46.2312411931446	41.8940767747275	50.3853209976727	52.7221430816203	55.1862719489891	51.8519443540794	57.4536846422534	54.61345560427	46.1213566341164	48.9090968882866	52.7720948367768	64.3084039903913	52.9229670792297	51.8880513108985	63.6963106939431	60.4382744788333	54.1003762909945	52.3045274067228	58.7268797110202	54.2460373249472	53.2726118477123	44.6841295779634	62.3172797522673	56.0238210689461	54.0454273259278	76.7105888375964	43.0446683289531	44.7727763785402	51.0968784168076	56.5101567171663	47.215292274429	48.7422769592115	35.6313381930176	35.0532011812951	43.2387653926566	59.9329939110994	57.7202614048234	48.569167410996	46.9661657343103	38.3480548092452	43.2615483054268	49.228655755786	42.9303412227422	44.7354775188402	36.3418599517014	40.3866635899736	43.3911987210365	43.8108171117638	41.3150444487444	39.1368563956297	49.0526251984504	40.2125168107323	46.5044331355191	54.2536016989261	50.5351429606575	68.274101616526	32.5104931308727	52.0880193843918	39.067385361721	39.7725606638787	53.0827962304874	53.0910438534538	37.5403843410739	56.228600901702	41.2828611253455	37.949098566451	45.0621316146282	39.3205157852423	41.2728366027884	44.5320452747886	44.2284215432017	38.3749709435793	49.2116431775816	43.0340694613931	38.9544292120729	41.0468730158325	52.1985693675219	52.7292912379349	56.4049067831666	38.2199937215805	35.7178210681811	39.067478346179	47.3652686335363	46.7309957405956	45.9599318083874	39.3103256111441	54.3234035997082
"CO05"	49.4891365649209	49.9154570317994	43.3231914302859	35.8685164654495	0	44.9094026008386	47.3866719345252	41.4202630291059	52.5944148786513	52.6157255592618	58.6701058719178	46.981525509019	43.4290101648038	40.1371951200207	44.7039650876089	42.3262332897528	51.4777460516341	42.235297448569	48.7132014096378	44.1978176767435	47.0417102824923	40.9926091918901	44.8598261329304	45.2731378434225	32.4156957159388	44.9761102086244	46.7633748380142	43.1800331157122	38.4274503326542	40.4674024669433	50.6264137678052	47.1196422312103	44.8038126144514	60.650376898879	51.1465909288581	48.3714324092588	46.9204557913732	46.6430032114804	68.8513492831277	51.3231516654533	56.0940005618804	49.8997562736023	54.1739950094892	36.3049213258984	37.2573114221099	45.1848499208424	61.4649984072649	55.4103545369753	46.431088385104	50.5642845206399	40.1156717332272	43.5496243956331	46.3121880503649	61.7937516311434	53.6498600933096	42.722110537782	35.7303795593431	51.27332344817	39.8523285720051	39.7386651342039	47.2506991358883	46.2459191128073	45.3983079966566	36.2779075315672	50.4442407853733	44.0888186594973	39.9132826391673	50.440216826272	52.6505166166649	56.9234299585287	53.1966680742013	54.5263433850053	55.0917991874788	46.777429129565	46.5338034753828	51.3398779970714	60.0034426502115	49.1108362019672	49.2671376150746	60.9622534541447	60.0785842399667	52.2922983070992	54.2640948042465	61.4591430900839	50.930688780562	49.9315770608436	46.7107845302832	61.674356683565	54.9142684287239	53.3205128862746	79.3428166506718	41.9422457690907	45.5611025082924	52.904088046324	63.7065172866851	46.0798739613929	46.7591949451442	33.1594253758019	32.2454948409232	48.3298680235647	62.7391074294694	59.1244832295949	49.9504049246643	47.1601758350861	44.904370658584	50.799514049492	50.9145430824078	45.2286244698179	42.5901077956162	37.1846430379302	39.9835603029177	43.678544529001	42.0343986912278	41.1977461560014	39.7985736338264	46.038563356824	35.032062608038	43.2810743437948	52.5508060320938	47.2704152172023	71.4067182010094	35.203280794985	57.2798773936189	42.3534850504543	34.9666531637608	55.8723237533302	54.0001538120749	32.3455091293745	57.2655582776845	45.1555356166767	38.779400106764	46.1615852683935	33.373431503663	42.8522351599379	44.7087635715382	43.6633336264051	43.1853150902704	52.1503655043506	43.2391030767647	42.8912344419765	40.4711264414486	54.6831279135002	53.4638261628263	54.1012554507701	38.8745455409987	36.2408147710493	42.8623090767683	48.9948508456621	49.7805909122744	49.7596128559844	43.4163860239706	57.1011907365907
"CO06"	40.866203409546	47.0295527984721	47.3318677361146	48.5650775174541	44.9094026008386	0	39.2447380800034	41.1202496092248	48.1906873334849	47.4132300754853	60.5838887654519	36.6803083583677	36.7460312333886	46.8970253712456	32.8024647287992	42.4042120944381	52.9426203059051	40.2212154184853	52.4484904690161	44.8655527758268	42.9445909604729	45.2410094722422	41.8055137104397	44.327077003635	46.5997286326234	40.3670031687323	41.9744719524284	35.65142293443	31.8500096205781	39.3812295384475	43.4483741327384	41.014525327876	50.8355031933509	67.37198526493	43.6049629347757	53.3153310318634	44.3197455620588	40.7261467654671	55.8080815781005	42.5646419489659	46.5353487609845	38.871577519665	44.8985700580383	52.6407621309173	47.7343020646543	53.5584272535102	69.5280071164145	50.5545870490112	44.7908248461396	47.6591526126899	48.7164195962772	49.0734782094335	40.9677328003443	62.7382252638518	54.9562592403014	41.9556724165416	43.1989000536379	46.8057395713064	41.2898803246989	38.7835615443247	51.9276605234196	48.6743795751808	45.8324737048348	42.8087093014001	43.4376713938974	45.141279859102	44.0598677415847	42.3755257624876	47.4316024191534	55.7604165247522	50.9407504914305	44.5992520102722	42.805846432576	42.1540087309701	38.3179383907389	36.7512058350501	48.1656447076564	33.5411886206164	35.102339172105	45.2985935919202	45.3009033961743	46.0931642464271	50.6372978255921	55.7231410920635	39.8831465735025	39.3687068436616	45.7843477467971	57.2413031245566	47.4597304638876	43.8937472350234	79.0150188194205	46.9776717481086	47.0710074679582	46.9031035572529	68.6110719396317	43.7477645992328	43.1903173754544	45.8147384428474	46.5469924929626	50.3678247836176	61.573472532006	55.4446004644762	54.882408929995	52.5391416693382	49.5827354266854	54.8214782880671	53.8408248767459	38.0405434039266	38.9643157923441	50.8353835987844	45.8651055367141	36.0690283678239	42.241177490122	40.6423015501763	37.6096113161737	45.4773281269437	39.5025084210087	33.2383569820306	38.4553327751149	38.3900812642875	72.4275505508397	38.2463214978609	60.4202487678394	40.012200378342	42.6367465644263	57.4793623552251	56.4445564518746	47.9966522465674	49.7549371366065	51.3116435056061	54.331464618871	45.8715579003045	41.3610842475404	49.3912392999729	54.2496806458343	39.6817636332937	46.7251891345829	48.6031329244071	46.3425210193768	59.2265246999947	55.2930688508555	54.4873469600278	53.8125185427554	47.586867678725	41.922482582919	50.1775270980497	48.417712834911	48.3126122126276	41.8266277216923	44.3576091168572	48.4375960989074	58.6728016364753
"CO07"	36.5260501569155	37.852621575758	41.0388839547743	43.7076445397945	47.3866719345252	39.2447380800034	0	39.694805305622	37.4930938850325	36.6993127516743	51.0239465842551	34.563376556471	39.3055184211724	48.4419050641882	35.3863417173234	33.1959795097829	48.9168022979017	37.2901964964844	45.7174497807299	36.1782090401444	38.2674938055137	35.7791430591289	38.8347408441448	41.8728273572815	43.8437201398988	41.2823650002425	34.2470236164644	34.8420271295925	34.1351766092344	38.8285788748851	34.5433364129314	41.2313012769186	42.1421189719033	57.5102985824959	34.7285684339985	43.4895408541582	38.8064806147291	29.9037245162589	52.8508844954717	42.161437984984	50.2701197508727	39.9756937116466	43.3265488125976	46.9374638856308	43.75120486222	45.3365044051138	59.4082990140783	48.2385295199653	40.8351304503122	42.9300632698771	42.501481176523	43.990917921656	33.4740961411738	51.2453031942924	43.3898702874242	38.4189713263161	37.8171541508773	39.7776890351319	41.079714873811	44.7591143450312	41.7613289558562	43.6242192812203	33.7488584092282	39.4462172144419	41.5257527812804	48.9488274621685	47.4998447120629	41.6590443212931	44.0210693824298	48.8874584593531	43.7233628067024	47.207092638612	45.066347262523	46.3418384687934	44.9853386323782	40.8579154333193	47.4032049202101	40.4765009899946	38.5738853869483	48.1489262111105	46.761735057577	42.6147525784155	41.4932490722406	45.8120732942293	47.2590948579418	46.3406545426802	35.9877582331674	54.7476635606527	48.0053461909014	42.4061946308435	68.7922084167186	40.0297099670651	43.4339825391716	42.3661139639028	60.8480654695232	39.5110773724448	39.0703280077781	46.5634548389037	47.8754259703267	43.1164576171378	51.4985927259323	47.532539624235	50.460314357864	49.4493256231217	39.1380859038972	43.1972526950148	45.5717525208004	38.9899064274963	39.7781891357137	52.4349102331415	43.0360331306474	34.9753727171685	41.4854676004421	41.6752989834737	39.0266027334934	41.6625480828525	42.3421489135796	37.1652121086849	41.9506911541468	45.3267057438291	61.9527474968517	40.4730098041272	50.0367420730404	39.7353495516673	43.7499011103701	46.6809323792865	46.9956872895602	49.5232685601804	49.2323578029856	43.9398204462154	47.3322087599913	45.9641818686903	40.9254257494844	41.5691965800382	44.8322342608976	42.3847470705768	38.6282527649567	40.9497067504128	44.545033749624	52.6355388267537	51.2308274067542	46.1843919954668	46.6061593910397	50.0084941545141	37.8775498456327	50.5383680079185	44.5324177110521	40.7394423527521	36.2383134767825	38.2582704782808	39.1647058272175	51.5278603949918
"CO08"	45.6400818364245	40.1904377668829	36.5101412188018	37.6558991420725	41.4202630291059	41.1202496092248	39.694805305622	0	41.2314843302935	47.1090206723886	49.0476437125676	37.6093775622237	34.0548637698075	35.4311236725216	32.2885862089948	34.6734809884848	46.3472520516426	34.8926961155523	38.3691448113027	36.3374379253152	37.2480354251558	33.052101467692	38.1299316174315	40.4684098706423	34.2619015700668	46.6534423043902	36.0054371095803	33.8987486269116	30.0005252414477	35.8026172088439	39.8422814962646	41.2457024498682	38.6142591411308	54.955392188799	45.7905450686382	42.4734163992394	40.5796621601326	37.6646926752916	62.968310063889	45.4358239231941	57.2691786202471	47.2306262140985	49.33084343254	38.5703043886344	40.6735155424674	41.5418154776252	56.4961888704834	39.5256019830276	35.5745101042509	38.9768149544973	36.145773869003	42.4420823423865	36.7961807946041	55.5534592199349	44.202711001433	36.1584115300715	35.6857595289499	40.2020186761274	35.7663469613482	36.4072779017251	37.2816174358625	47.4656047281577	36.4210447958943	41.0476720063374	40.0521313609686	44.8898792058523	41.0355010637198	47.217983018101	50.990528902888	46.196810828521	44.5432439712562	52.4117131080988	50.693995744565	48.621043016327	52.6808813879402	49.7555835911666	57.9844257594437	47.7034905125643	47.3303462942765	56.9895637230267	52.8202242985094	44.9282539015799	40.1461718491585	51.3913508571143	46.0738003229409	43.5519292475718	39.684820079534	53.3055191681149	49.6827653074077	45.353032416243	71.6805087498175	44.8906382853048	36.5336375595281	41.7876121707107	55.7142624007743	39.4337460801524	38.849687808044	39.3963632406189	38.9937545499607	35.2040994331755	50.9184823589213	48.8496063295182	44.2695025867996	41.4742986358235	41.634335805739	46.5598791575605	43.6410248750932	36.2376626084904	38.5707683000979	43.2699267837872	39.3790714176911	35.9044264510614	40.0799254200298	34.4680517165308	42.347491867173	40.8612967833784	44.9713527815723	41.339413078972	48.2776940681595	48.718552772737	63.3177308826658	37.8268280136158	45.7803743583505	33.7189567237097	42.633869469399	45.3100796205056	43.977402383984	41.3577914475667	55.1258137254579	40.3730554405899	39.6708419599905	46.0642492129405	40.1375326023277	44.3094089269319	48.1763878869039	46.4242591806034	42.9723674613858	43.3595917681816	46.3410605970974	46.8548470421526	47.8640748502561	43.5341437700399	44.3043610420113	57.4875733683349	33.6553565426799	41.2388900662273	32.8662269418474	43.3889474648401	39.7325207712842	38.9585042879905	40.158468503335	46.5522612877535
"CO09"	48.5649416474089	39.119007224803	39.9837761559408	49.5042535933504	52.5944148786513	48.1906873334849	37.4930938850325	41.2314843302935	0	35.8100428503044	44.8585890347155	41.6369217971418	45.337062391397	47.1405226960989	45.8506681086723	35.0662210405949	47.7436563573381	40.724691337029	45.6613541014693	36.1630465940719	42.2940638257519	35.580512853814	44.3428024672018	45.8107589625068	49.7329859105815	50.7892158365912	39.4575954293189	38.2943490755221	43.3377690142305	40.3079037074301	39.2902849411557	45.6489036281563	36.6200342827766	52.4457394142176	43.9176408252876	45.441430874882	44.1673182443758	32.8928531734358	61.1218181720376	48.0333265230931	59.632112220776	50.6650427022299	50.5154430894056	48.2427464903896	49.29081474907	41.2085135759733	54.1579116242607	47.0560364788569	40.7458286242265	44.4819475470342	38.672719102995	51.2248326042469	34.9210618018222	44.894068886961	38.9884353900786	41.2801589002425	44.192774854897	38.9331858143018	46.8279684482444	47.5861672917595	43.4708558470245	49.0339827059291	38.1113943599566	45.5151101760925	39.3059983901064	56.5031039381026	55.0368239141958	47.9834406935408	48.8209797771997	46.2403644182553	43.7578504191847	53.1125866170039	49.6847626512495	51.4774522833797	55.1604390474306	47.4695954615759	56.792776008322	50.0259593473862	48.392129810049	57.9805236608133	50.8952626259143	46.9712927120776	42.5713335402764	46.8485592298411	51.9565819103654	49.1312704204568	29.4916461657429	53.1870638014161	48.5973669183379	44.8460834565343	63.3278293712486	43.1500577244687	41.1623458954967	38.4023969444588	56.2293517370811	39.0316638508372	41.6605882088166	50.6856870024081	50.6130187616864	39.5201837994592	50.7051252178481	50.3451357565015	50.0228451336776	47.7162984712844	44.8523500809934	49.378711919885	45.0996800547663	44.0324869818159	44.9444914091327	55.7104401939853	48.558616405731	38.8979314803797	46.9067608983634	46.1747959513396	52.5651985151781	41.5775745720272	53.9992976632583	46.0750741310361	53.3625166872314	52.921157532139	55.9191976176145	48.8121696195231	46.9511683770703	44.6351051275953	48.864596284155	44.8610159210256	43.909855503739	52.4986293777576	61.8753610728794	44.979839695866	47.1221060163836	55.7577652803198	48.7089790647009	48.8234336553331	50.0881155345726	54.4365135728222	45.1394843606047	41.1406195047642	53.7772155829008	48.5646872757373	49.1764795822045	41.722059306387	42.4370935158109	62.9068341317291	42.4414900653827	52.2649617767998	44.6724465281407	37.9540538927976	40.134611099045	43.6911499766155	44.2664102018527	39.6594288520348
"CO10"	45.7646979811918	46.0797173802097	45.4071743212899	48.015795443562	52.6157255592618	47.4132300754853	36.6993127516743	47.1090206723886	35.8100428503044	0	49.021946645426	37.7393621203988	42.9224976450218	51.5864436982358	46.6468258377261	33.450181287566	51.5213863452787	42.6244678152402	51.6584627003486	40.4662653465854	45.4219493743221	39.4819249583529	44.694020255512	46.7024680677226	49.8164189815477	48.7220495578064	39.6985217851034	36.7852356699096	44.6921548661617	46.2646707026502	44.2897602994477	48.2740345192147	44.4953052322804	57.3571281450088	44.8386550218799	48.376341160077	47.0398548535785	32.3421731658881	57.3272927258326	45.9931370885578	53.8198643725052	45.1143474070498	49.8400357074772	51.0103581233453	52.518013521006	45.9571735630901	59.9156431746583	54.8230130673056	47.3760707613805	48.1334362941453	43.4356230247412	56.492363505954	35.4878964540071	54.288080672074	45.7801173348231	44.1596817064196	42.5975624358028	42.1960240454646	47.8099753506611	48.9298049328185	47.8178527708947	52.2942591723383	40.5683438005278	47.9388299646586	47.9744991440402	58.7619389845108	57.3859597702151	38.8665212674458	43.6440954024804	54.8810278561496	49.9647968323282	53.9859477416876	48.7821367429767	50.2499441284536	49.3719485093886	43.5234519844058	54.1137619821573	43.3520723241724	41.1594609653984	50.8758251503829	48.1895537258414	48.2234310169817	47.7357282577448	48.8422957054572	55.1497873242935	54.552454438454	38.4787144861632	59.2507474819339	52.0016945619686	46.7866329138212	69.8180755335513	44.2085218717846	44.9527103152734	43.5400302609638	62.3650850927555	45.4467672984927	45.3720037606796	50.6927751739295	52.0044999572222	44.9578991136741	56.9428574546132	53.5763992884243	53.8946433730416	51.0273199144794	45.0223745026758	49.523551257118	49.1407117304391	46.9883996404758	47.8837735420627	55.6367033722479	51.4442516771961	42.13295734247	49.4708599816985	49.0147874075319	46.2749181052856	45.6867482736243	48.121806613996	43.3004928324661	47.572648094785	56.139164878932	61.8135861101836	47.5334011172343	54.1224000548793	37.7045691526325	43.0994976251694	50.568680033557	51.4710126542131	55.5636726475253	56.4624822160677	47.7049068202658	52.1907529832114	55.97259290629	51.8992903229491	52.021551807443	53.0258538142857	52.807042463184	45.0964280603323	47.8692884615443	51.7696158983538	51.1509886779725	50.7575550121258	49.6465200656411	48.2300635660407	61.0331932631546	46.1227710848784	54.9814464936247	47.3473692829149	42.7690601960103	38.6672541007144	45.1989632719142	42.0552264113368	51.156512769215
