Gene	Control	Grave_I	Grave_II	SIZE	Group
rpsA	16.7665	18.606375	34.43244444	5.374762718	aquamarine2
pnp	10.13898387	11.995875	23.93358333	4.61871212	brown2
lacZ01	6.049825806	10.16253125	22.63533333	4.191375545	cyan
leuS	9.896867742	11.3460625	27.33016667	4.649313624	darkorchid1
secA	11.63501129	13.51884375	29.55408333	4.889765135	deeppink4
tuf	19.54870968	24.10979688	43.06027778	5.743184634	deepskyblue
dnaK	11.8686129	13.60714063	26.76388889	4.847621409	gold
mutB	12.20074194	14.12499375	25.08658333	4.847754696	gold
rpoB	17.35746774	20.69495313	41.6815	5.567058871	orange
infB	11.28941935	12.88764063	30.44458333	4.861806743	pink2
HP01	1.939403226	21.81816406	18.32738889	1	#B0E0E6
HP02	9.433870968	11.19235781	27.94155556	1	#B0E0E6
rpoC02	26.71343548	31.05779688	56.78258333	1	#B0E0E6
carB	8.615048387	10.58077969	24.42677778	1	#B0E0E6
mutS	8.824619355	9.975578125	22.93772222	1	#B0E0E6
secF	6.883040323	8.987796875	21.41952778	1	#B0E0E6
nifJ	22.75716129	26.78298438	47.63319444	1	#B0E0E6
rpoC01	12.69290323	16.14830938	35.24105556	1	#B0E0E6
acrB	9.4505	10.80042188	25.30361111	1	#B0E0E6
polA	6.65283871	8.135701563	20.344	1	#B0E0E6
BT0173	8.399516129	10.48195313	17.20555556	1	#B0E0E6
fusA	9.825258065	11.82253125	22.83441667	1	#B0E0E6
purL01	3.451666129	22.60242188	15.82055556	1	#B0E0E6
purL02	6.858043548	12.29398438	26.28108333	1	#B0E0E6
ppaC	13.97241935	11.44064063	1	2.93829594	orange
pulA	16.32415645	13.8023125	1.182708333	3.234213682	pink2
cas3	15.11652258	10.84052656	1.380958333	3.139577134	aquamarine2
czcA	34.8883871	28.916	1.934566667	4.387203745	brown2
dinG	14.61045	12.87154063	1	3.032392165	cyan
feoB	17.70833871	14.89378125	2.177330556	3.678809545	darkorchid1
clpC	14.13927097	12.43156563	1.023961111	3.006981743	deeppink4
tonB	21.41934677	8.366421875	1	3.004461309	deepskyblue
copA	15.46509032	13.8097125	1	3.106049464	gold
HP04	19.82279839	16.60119375	1	1	#B0E0E6
HP08	17.21280968	14.10337813	2.875555556	1	#B0E0E6
HP05	17.581	16.715225	1	1	#B0E0E6
HP12	14.19896774	11.76671563	1	1	#B0E0E6
HP07	21.96638548	19.16639063	1	1	#B0E0E6
addB	24.02768065	21.36239844	1.254277778	1	#B0E0E6
HP09	24.72127419	20.96710469	1.111252778	1	#B0E0E6
CP0875	21.61896774	18.16645313	1.618638889	1	#B0E0E6
lacZ02	17.09862419	13.41904844	1.614561111	1	#B0E0E6
spoIIE	16.52960806	14.25352656	1	1	#B0E0E6
mutS2	15.07120968	13.33794219	1	1	#B0E0E6
addA	26.27708065	23.04334375	1.422636111	1	#B0E0E6
HP10	14.21943065	11.87305	1	1	#B0E0E6
yliE	21.67990323	18.27211563	1.046341667	1	#B0E0E6
ftsI	20.85513387	17.88922188	1.269180556	1	#B0E0E6
cadA	17.92956129	14.96448438	2.0232	1	#B0E0E6
HP19	14.92389194	12.55325156	1	1	#B0E0E6
lon	16.83258065	15.01621875	1.669841667	1	#B0E0E6
priA	13.44940323	12.09845938	1	1	#B0E0E6
HP17	44.83729194	33.90734375	11.46659167	1	#B0E0E6
mrdA	14.19806129	12.18718906	1.024236111	1	#B0E0E6
HP18	17.9208871	14.78104688	2.125116667	1	#B0E0E6
HP06	13.98137581	11.38765625	1	1	#B0E0E6
recJ	14.3380371	12.49718125	1	1	#B0E0E6
HP14	28.789	24.0635	1.975180556	1	#B0E0E6
HP15	17.04570806	14.17108281	1	1	#B0E0E6
sbcC	19.87378548	16.65448438	1.047713889	1	#B0E0E6
ydbA	18.87326452	16.07399688	1	1	#B0E0E6
dnaE	23.12177419	20.25432813	2.163908333	1	#B0E0E6
HP16	18.91763548	16.42239063	1.438525	1	#B0E0E6
macB2	17.9719371	14.7090625	1.181766667	1	#B0E0E6
HP11	18.34589194	15.20144844	1.171047222	1	#B0E0E6
HP03	30.792	20.82517969	6.103019444	1	#B0E0E6
gene_id_98527	20.71966613	16.77259375	4.748616667	1	#B0E0E6
gene_id_97764	7.737354839	10.26703125	8.396072222	1	#B0E0E6
gene_id_69718	8.096708065	7.6588125	3.046066667	1	#B0E0E6
gene_id_103206	4.614432258	7.416710938	16.18398056	1	#B0E0E6
gene_id_58474	8.518322581	7.47653125	3.704786111	1	#B0E0E6
gene_id_58473	9.801987097	9.5275	4.579613889	1	#B0E0E6
gene_id_98370	11.47387581	9.453421875	2.600394444	1	#B0E0E6
gene_id_97493	19.30860645	13.96077813	16.06643611	1	#B0E0E6
gene_id_96896	8.275306452	9.0155	8.826111111	1	#B0E0E6
gene_id_57882	9.390935484	8.95234375	4.944166667	1	#B0E0E6
gene_id_96089	21.60273226	25.131875	28.18295278	1	#B0E0E6
gene_id_129619	11.16541613	10.90095938	6.950636111	1	#B0E0E6
gene_id_86300	6.836046774	8.044734375	5.834816667	1	#B0E0E6
gene_id_86302	6.854137097	7.41828125	5.635977778	1	#B0E0E6
gene_id_82150	8.659709677	7.221715625	0.309555556	1	#B0E0E6
gene_id_82157	15.34733871	11.65583906	3.530711111	1	#B0E0E6
gene_id_82158	9.165725806	7.237729688	2.157138889	1	#B0E0E6
gene_id_132254	9.871995161	3.344398438	4.543038889	1	#B0E0E6
gene_id_67833	5.762370968	7.7204375	4.623475	1	#B0E0E6
gene_id_128324	8.073241935	7.783828125	5.019444444	1	#B0E0E6
gene_id_97403	11.07017419	9.261401563	2.550588889	1	#B0E0E6
gene_id_97409	14.99082258	12.45943281	3.514636111	1	#B0E0E6
gene_id_97408	36.43226452	30.77293281	8.653655556	1	#B0E0E6
gene_id_35645	8.80233871	7.081328125	4.080838889	1	#B0E0E6
gene_id_90127	9.938804839	7.869053125	11.24108333	1	#B0E0E6
gene_id_69692	73.44112903	76.39326563	56.23096111	1	#B0E0E6
gene_id_90126	8.721369355	5.741390625	5.502116667	1	#B0E0E6
gene_id_90124	19.08746774	17.147975	14.85595833	1	#B0E0E6
gene_id_97608	22.49265484	18.40539688	4.883133333	1	#B0E0E6
gene_id_99059	18.53400323	15.86818594	4.940944444	1	#B0E0E6
gene_id_70823	8.878951613	9.72640625	5.537091667	1	#B0E0E6
gene_id_55962	7.539353226	6.237195313	4.241611111	1	#B0E0E6
gene_id_56431	7.911224194	5.734048438	3.883844444	1	#B0E0E6
gene_id_56430	8.607632258	7.904515625	5.113138889	1	#B0E0E6
gene_id_99219	12.62414355	10.54709688	3.090144444	1	#B0E0E6
gene_id_117643	7.749687097	6.642889063	4.915083333	1	#B0E0E6
gene_id_96831	14.69383871	16.51634375	10.89863611	1	#B0E0E6
gene_id_55187	12.47827419	11.33890625	6.420661111	1	#B0E0E6
gene_id_55184	9.577712903	6.482326563	4.995958333	1	#B0E0E6
gene_id_55182	8.407448387	8.676859375	5.381961111	1	#B0E0E6
gene_id_55188	27.07239032	24.32896875	12.99540556	1	#B0E0E6
gene_id_88851	5.548609677	5.312629688	8.871330556	1	#B0E0E6
gene_id_88858	10.26456129	11.38398281	29.98103889	1	#B0E0E6
gene_id_129798	7.033025806	6.92625	4.60555	1	#B0E0E6
gene_id_58606	8.711396774	8.571767188	4.503663889	1	#B0E0E6
gene_id_128829	8.175448387	8.238303125	5.222388889	1	#B0E0E6
gene_id_101802	12.84255645	19.1781125	33.51466667	1	#B0E0E6
gene_id_101801	13.75172903	20.17086406	35.34586111	1	#B0E0E6
gene_id_97302	8.038566129	6.894265625	4.626044444	1	#B0E0E6
gene_id_97300	31.9414129	25.89449844	6.91135	1	#B0E0E6
gene_id_97301	24.18332258	22.5840625	11.68725	1	#B0E0E6
gene_id_98801	15.84070806	13.05478281	3.516877778	1	#B0E0E6
gene_id_102628	5.553627419	9.075017188	19.28233333	1	#B0E0E6
gene_id_137633	5.513293548	7.030382813	10.42667222	1	#B0E0E6
gene_id_44163	12.45790323	10.61165625	4.161897222	1	#B0E0E6
gene_id_55668	10.18680645	8.839921875	5.91535	1	#B0E0E6
gene_id_39714	12.74259194	14.32096094	1.349788889	1	#B0E0E6
gene_id_68770	8.891574194	5.668703125	2.177397222	1	#B0E0E6
gene_id_68778	9.817125806	6.775792188	2.205466667	1	#B0E0E6
gene_id_128585	18.76808065	18.18021406	11.59373333	1	#B0E0E6
gene_id_128583	10.52891935	10.35864063	6.718697222	1	#B0E0E6
gene_id_127693	8.452870968	7.873403125	5.020913889	1	#B0E0E6
gene_id_129233	6.896572581	7.052184375	4.403738889	1	#B0E0E6
gene_id_129232	8.467740323	8.310015625	5.857233333	1	#B0E0E6
gene_id_129231	7.869148387	7.827840625	4.812277778	1	#B0E0E6
gene_id_129239	11.35283871	11.27607813	7.053583333	1	#B0E0E6
gene_id_98361	15.82660161	14.66623438	9.718783333	1	#B0E0E6
gene_id_98363	17.74872581	16.50457969	9.210725	1	#B0E0E6
gene_id_98362	12.77284032	11.9057125	8.457213889	1	#B0E0E6
gene_id_98365	17.87971129	16.12118906	9.247944444	1	#B0E0E6
gene_id_98364	19.21636613	17.15715625	9.293708333	1	#B0E0E6
gene_id_57158	7.893258065	7.496903125	4.540533333	1	#B0E0E6
