TAX	Control	Grave_I	Grave_II	SIZE	Group
Clostridium saccharolyticum_An168	0.000 	0.004 	0.004 	2.315826512	deepskyblue
Bacteroides fragilis_H0067B	0.063 	0.084 	0.164 	5.960058881	gold
Bacteroides thetaiotaomicron_H463	0.311 	0.405 	1.389 	7.495861601	pink2
Bifidobacterium dentium ATCC 27678	0.002 	0.010 	0.051 	3.917561948	aquamarine2
Clostridium clostridioforme_AGR2157	0.001 	0.001 	0.006 	2.602963471	darkorchid1
Clostridium paraputrificum_LH025	0.000 	0.001 	0.002 	1.99693127	brown2
Clostridium perfringens_SM101	0.001 	0.008 	0.010 	3.085128677	cyan
Fusobacterium mortiferum ATCC 9817	0.007 	0.020 	0.168 	4.909723572	orange
Haemophilus parainfluenzae_0123Y	0.005 	0.007 	0.021 	3.933063251	deepskyblue
Streptococcus gordonii_CH1	0.000 	0.007 	0.010 	2.934361332	gold
Streptococcus miti_RH50738	0.004 	0.016 	0.033 	4.232580859	deeppink4
Streptococcus parasanguinis_318SPAR	0.016 	0.160 	0.226 	5.850370532	aquamarine2
Faecalibacterium prausnitzii_CNCM4573	2.652 	2.097 	0.514 	8.304217863	deepskyblue
Lactobacillus ruminis ATCC 27782	0.017 	0.002 	0.001 	3.125548688	gold
Anaerostipes hadrus_P2764	1.036 	0.733 	0.551 	7.747521484	deeppink4
Alistipes putredinis_CAG67	1.441 	1.412 	0.841 	8.155572832	aquamarine2
Butyricimonas synergistica_43	0.025 	0.023 	0.002 	3.980132752	darkorchid1
Phascolarctobacterium succinatutens_YIT12067	0.091 	0.074 	0.063 	5.750972486	brown2
Akkermansia muciniphila_MG2	0.091 	0.082 	0.071 	5.816136618	cyan
Eubacterium rectale T1-815	4.675 	4.124 	2.156 	1	gray51
Faecalibacterium prausnitzii strain CNCM I 4542	1.965 	1.797 	1.076 	1	gray51
Fusicatenibacter saccharivorans	1.812 	1.663 	1.095 	1	gray51
Escherichia coli upec-80	0.669 	1.175 	3.112 	1	gray51
Faecalibacterium sp. UBA2087	1.051 	0.916 	0.503 	1	gray51
Subdoligranulum sp. 60_17	0.821 	0.595 	0.458 	1	gray51
Bacteroides sp. 2_1_7	0.425 	0.438 	0.929 	1	gray51
Bacteroides sp. D1	0.289 	0.365 	0.911 	1	gray51
Prevotella stercorea CAG:629	0.622 	0.395 	0.158 	1	gray51
Bifidobacterium stercoris JCM 15918	0.363 	0.404 	0.510 	1	gray51
Dialister invisus CAG:218	0.404 	0.399 	0.322 	1	gray51
Streptococcus sp. CCH5-D3	0.060 	0.554 	0.619 	1	gray51
Clostridium sp. CAG:7	0.453 	0.371 	0.246 	1	gray51
