Pathway	Abundance	log2FoldChange	Enriched	Qvalue	All_Unigene	pathway
 isoprene biosynthesis II	0.848981596	2.952093146	7.334583469	1.15E-10	379	PWY-7391
 mevalonate pathway I	1.086559146	2.719705034	6.864563229	1.15E-09	350	PWY-922
 fructan biosynthesis	0.933022459	2.100476081	4.348079306	0.000299277	375	PWY-822
 allantoin degradation IV	1.120917797	1.833623755	4.677660097	0.000115844	340	PWY0-41
 formaldehyde assimilation II	1.877729826	1.674690212	5.879995016	3.36E-07	275	PWY-1861
 L-tryptophan degradation XI	1.850512424	1.546781159	4.428273938	0.000244175	283	PWY-6309
 stearate biosynthesis III	0.576973607	1.364756543	4.242723212	0.000382025	373	PWY3O-355
 phytate degradation I	1.23697407	1.288755396	4.870881494	5.08E-05	323	PWY-4702
 superpathway of heme biosynthesis from glycine	1.908604341	1.179354209	4.289059864	0.000347263	266	PWY-5920
 pentose phosphate pathway	2.55791799	1.026116741	5.582164581	1.37E-06	195	PENTOSE-P-PWY
 superpathway of N-acetylglucosamine	2.471274043	0.80748623	4.346393485	0.000299277	203	GLCMANNANAUT-PWY
 superpathway of glycolysis and Entner-Doudoroff	2.629477735	0.675636857	4.150385965	0.000528543	182	GLYCOLYSIS-E-D
 isoprene biosynthesis I	2.970321599	0.64885652	4.449889522	0.000234682	119	PWY-6270
 gluconeogenesis I	3.178426418	-0.340562762	-4.859979767	5.08E-05	67	GLUCONEO-PWY
 superpathway of aromatic amino acid biosynthesis	3.551879694	-0.349520169	-4.287547115	0.000347263	10	COMPLETE-ARO-PWY
 chorismate biosynthesis from 3-dehydroquinate	3.588123061	-0.366891407	-4.269280401	0.000363494	5	PWY-6163
 chorismate biosynthesis I	3.559935255	-0.367630903	-4.558995971	0.000166725	9	ARO-PWY
 adenosine ribonucleotides de novo biosynthesis	3.769720128	-0.403442871	-4.147539482	0.000528543	1	PWY-7219
 glutaryl-CoA degradation	2.795226682	-0.599817231	-4.45669598	0.000234682	148	PWY-5177
 pyruvate fermentation to hexanol	2.320892849	-0.891415897	-4.25916303	0.000367226	218	PWY-6863
 gluconeogenesis III	2.83296074	-1.070773791	-5.104938559	1.72E-05	150	PWY66-399
 anaerobic energy metabolism	2.810946545	-1.258784116	-5.605557096	1.35E-06	155	PWY-7383
 myo-inositol degradation I	1.8481734	-1.551933728	-6.611164057	4.95E-09	267	P562-PWY
 creatinine degradation I	1.630890516	-1.558412855	-4.159172534	0.000528543	309	CRNFORCAT-PWY
 Rubisco shunt	2.220781202	-2.286546438	-5.863370261	3.36E-07	254	PWY-5723
 photorespiration	0.639537053	-2.298832236	-4.419785405	0.000244175	415	PWY-181
 superpathway of fatty acid biosynthesis II	0.379973375	-2.493425036	-6.997708992	6.75E-10	433	PWY-5156
