"CO01"	"CO02"	"CO03"	"CO04"	"CO05"	"CO06"	"CO07"	"CO08"	"CO09"	"CO10"	"CO11"	"CO12"	"CO13"	"CO14"	"CO15"	"CO16"	"CO17"	"CO18"	"CO19"	"CO20"	"CO21"	"CO22"	"CO23"	"CO24"	"CO25"	"CO26"	"CO27"	"CO28"	"CO29"	"CO30"	"CO31"	"CO32"	"CO33"	"CO34"	"CO35"	"CO36"	"CO37"	"CO38"	"CO39"	"CO40"	"CO41"	"CO42"	"CO43"	"CO44"	"CO45"	"CO46"	"CO47"	"CO48"	"CO49"	"CO50"	"CO51"	"CO52"	"CO53"	"CO54"	"CO55"	"CO56"	"CO57"	"CO58"	"CO59"	"CO60"	"CO61"	"CO62"	"GS01"	"GS02"	"GS03"	"GS04"	"GS05"	"GS06"	"GS07"	"GS08"	"GS09"	"GS10"	"GS11"	"GS12"	"GS13"	"GS14"	"GS15"	"GS16"	"GS17"	"GS18"	"GS19"	"GS20"	"GS21"	"GS22"	"GS23"	"GS24"	"GS25"	"GS26"	"GS27"	"GS28"	"GS29"	"GS30"	"GS31"	"GS32"	"GS33"	"GS34"	"GS35"	"GS36"	"GS37"	"GS38"	"GS39"	"GS40"	"GS41"	"GS42"	"GS43"	"GS44"	"GS45"	"GS46"	"GS47"	"GS48"	"GS49"	"GS50"	"GS51"	"GS52"	"GS53"	"GS54"	"GS55"	"GS56"	"GS57"	"GS58"	"GS59"	"GS60"	"GS61"	"GS62"	"GS63"	"GS64"	"GR01"	"GR02"	"GR03"	"GR04"	"GR05"	"GR06"	"GR07"	"GR08"	"GR09"	"GR10"	"GR11"	"GR12"	"GR13"	"GR14"	"GR15"	"GR16"	"GR17"	"GR18"	"GR19"	"GR20"	"GR21"	"GR22"	"GR23"	"GR24"	"GR25"	"GR26"	"GR27"	"GR28"	"GR29"	"GR30"	"GR31"	"GR32"	"GR33"	"GR34"	"GR35"	"GR36"
"Clostridium perfringens SM101"	0	-1.6932867618706	0	0	0	0	0	0	0	0	0	0	0	-0.0838488494364986	0	0.791619887917401	0	0	-1.6932867618706	0	0	-0.0838488494364986	0	0	0	0	-0.59467447320249	0	0	0	-1.6932867618706	0	-1.6932867618706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0984727073574554	0	0	0	0	0	0	0	0	0.609298331123447	0	0	0	0	0	2.87106142959724	0.252623387184714	0	0	0	-1.6932867618706	0	0	0	0	0	0	0	0	0	0	0	3.97659416110992	0	0	0	-1.6932867618706	0	0	0.871662595590937	1.89023217658551	1.13992658218562	0	0	0	0	0	0	0	0	0	-0.59467447320249	-1.6932867618706	0	0	0	1.07930196036918	0	0	0.0984727073574554	0	0.791619887917401	0	0	0.704608510927772	0	0	-1.6932867618706	-1.6932867618706	-1.6932867618706	0	0	-0.59467447320249	0.252623387184714	0	0	3.10250378372614	0	0	-1.6932867618706	0	0	0	0	0	0	0	0	-1.00013958131065	-1.00013958131065	-1.00013958131065	0	1.56480977615088	0	0	3.48286297070323	0	0
"Coprobacillus sp. 8_2_54BFAA"	-0.295470778470684	-1.18277397347159	-0.489626792911641	0.468628138061546	-0.826099029532854	-1.18277397347159	-1.25688194562531	0.0283162986232135	-1.04924258084706	-0.454535473100371	0.0699889950237815	-1.62460672575063	-0.877392323920405	0.090191702341301	0.337051780272827	-0.988617959030629	-0.238312364630735	0.167152743477429	-0.454535473100371	-0.6437774727389	0.337051780272827	-0.826099029532854	-1.33692465329885	-1.42393603028847	-0.525994437082516	-0.525994437082516	-0.184245143360459	0.689028203430005	-0.6437774727389	1.04570314736874	-0.266483241597431	-1.11378110198464	-0.0151688133165253	-0.686337087157696	-1.42393603028847	-1.62460672575063	-0.602955478218644	-0.826099029532854	-0.266483241597431	-0.132951848972909	0.763136175583727	0.81289768514279	-1.33692465329885	-0.489626792911641	0.167152743477429	-0.454535473100371	-0.826099029532854	-0.42063392142469	-0.454535473100371	-0.387844098601699	-1.87592115403153	0.148460610465277	1.57633139843091	-0.060631187393283	0.0068100934022497	-1.5192462100928	-0.563734765065363	0.982189741646411	-0.325323741620365	-0.158269656957199	-0.602955478218644	-0.266483241597431	-0.238312364630735	-0.356095400287118	0.620819953403471	1.16177531862149	0.0283162986232135	-0.42063392142469	1.12692858729132	-0.454535473100371	-0.238312364630735	-0.0151688133165253	0.129412415494582	0.81289768514279	-0.777308865363422	-0.686337087157696	0.167152743477429	0.090191702341301	0.090191702341301	-0.877392323920405	-0.93145954519068	0.10999432963748	-0.158269656957199	-0.826099029532854	-0.686337087157696	0.0699889950237815	-1.25688194562531	-1.11378110198464	-0.108259236382537	-0.42063392142469	0.090191702341301	0.238611707459574	-1.87592115403153	-0.356095400287118	-1.87592115403153	-0.210913390442621	1.94960982004317	-0.084161684803477	-0.084161684803477	-1.11378110198464	-0.454535473100371	-0.93145954519068	0.129412415494582	-0.730788849728529	-0.238312364630735	-0.42063392142469	-0.210913390442621	0.10999432963748	-0.158269656957199	-0.686337087157696	-0.563734765065363	-0.266483241597431	-0.93145954519068	-0.877392323920405	-0.730788849728529	-0.988617959030629	-1.04924258084706	-0.084161684803477	-0.6437774727389	-1.5192462100928	-0.132951848972909	-1.74238976140701	-0.826099029532854	-0.266483241597431	0.965660439695201	0.44084857395447	1.09814962274128	1.25334251214698	0.742516888380991	1.16860128369189	1.12692858729132	-0.6437774727389	0.272513259135255	2.17462078553218	-0.602955478218644	-1.42393603028847	0.91436714530765	2.11306289253274	1.82714293507436	1.90826847988673	1.48643639431436	0.495656810449465	1.43566406894094	2.20885395717442	1.20860661830559	3.78206666543504	1.23441450226146	1.70362163604494	2.08625163508209	2.3684841027663	1.09814962274128	1.48643639431436	3.32887015450568	1.47648606346119	1.59426909911757	0.710768190066411	1.57179624326552	0.973959242509896	1.69562159337786	3.51965254927632	0.0699889950237815	-0.132951848972909
"Haemophilus sp. HMSC066D02"	0	0.087438237748608	-0.605708942811337	0	0	-0.605708942811337	-0.605708942811337	0	1.4737325988685	0	0	-0.605708942811337	0	0	0	0	0	0	0.087438237748608	-0.605708942811337	0.492903345856772	0	0	0	0	-0.605708942811337	0.087438237748608	0	0.492903345856772	0	0.087438237748608	0	0	0	0	0	0	-0.605708942811337	0	0	0	-0.605708942811337	0	0	0	0	0	0	0	-0.605708942811337	0.087438237748608	0	0	0.492903345856772	0	-0.605708942811337	-0.605708942811337	-0.605708942811337	0	0	-0.605708942811337	-0.605708942811337	-0.605708942811337	0	0	0.087438237748608	0	-0.605708942811337	0.087438237748608	0.492903345856772	1.00372896962276	0	0	0	0	0	0.087438237748608	1.18605052641672	0.087438237748608	0	0	0	0	0	0	-0.605708942811337	0	0	0	0	0	0	0	0	-0.605708942811337	-0.605708942811337	-0.605708942811337	0	0	0	-0.605708942811337	1.79218632998703	1.18605052641672	0	0	0	0	0	0	0	-0.605708942811337	-0.605708942811337	0	0	0	0.780585418308553	0.492903345856772	-0.605708942811337	0	0	0	0.087438237748608	0	0	0	0.087438237748608	-0.605708942811337	0.492903345856772	0	0	0	0.087438237748608	0	1.00372896962276	-0.605708942811337	-0.605708942811337	0	0	2.03334838680392	1.9592404146502	0.087438237748608	0	0	0	0	0.087438237748608	0.492903345856772	0.492903345856772	-0.605708942811337	0.087438237748608	-0.605708942811337	-0.605708942811337	0	-0.605708942811337	0.087438237748608	-0.605708942811337	0	0	0	2.22750440124488	-0.605708942811337	0
"Lachnospiraceae bacterium CAG:215"	0	0	0	0	0	-0.00397447058627787	0	-1.10258675925439	0	-1.10258675925439	0	0	0	0	-0.409439578694442	0	0	-0.409439578694442	0	0	-1.10258675925439	0	0	0	0	0	0	0.976854782425448	-1.10258675925439	0	0	0	0	0	0	0	0	-0.409439578694442	0	0	-0.409439578694442	0	0	0	-1.10258675925439	0	0	-1.10258675925439	0	-1.10258675925439	0	-0.00397447058627787	0.283707601865504	0	1.29530851354398	-1.10258675925439	0	0	-1.10258675925439	0	-0.409439578694442	0	-1.10258675925439	0	0	0	0.689172709973668	0	0	0	0	0	0	0	0	0	-1.10258675925439	-1.10258675925439	-0.409439578694442	0	0	-1.10258675925439	-1.10258675925439	0	-1.10258675925439	0.283707601865504	0	0	-0.409439578694442	0.283707601865504	0	0	0	-1.10258675925439	0	0.283707601865504	0	0.283707601865504	0.506851153179714	0	0	0	-1.10258675925439	-1.10258675925439	-0.409439578694442	-1.10258675925439	1.73062658480183	0	0	0	-0.409439578694442	0	0	0	0	0	0	0	-1.10258675925439	0	0.506851153179714	0	0	0	1.46236259820715	0	3.63361168914011	3.63361168914011	0	0	0	0	0.976854782425448	0.843323389800926	-1.10258675925439	-1.10258675925439	3.81006812648166	2.63508285902898	3.00828710491892	3.2541220674352	0	0.506851153179714	0.689172709973668	-1.10258675925439	-1.10258675925439	0	0	0	0	0	-0.409439578694442	-0.00397447058627787	0	0	0	0.506851153179714	-1.10258675925439	0	0	0	-0.409439578694442	-0.00397447058627787
"Streptococcus agalactiae strain RBH09"	0	-0.272996371170655	0	0	0	0	0	0	0	0	0	-0.272996371170655	0	0	-0.272996371170655	0	0	0	0	0	0	0	0	0	0	0	-0.272996371170655	0	0	-0.272996371170655	0	0	0	0	0	0	0	0	-0.272996371170655	0	0	0	0	0	0	0	0	0	0	0	0	-0.272996371170655	0	0	0	0	0	0	-0.272996371170655	0	0	0	0	0	-0.272996371170655	1.5187630980574	0	-0.272996371170655	1.33644154126345	0	0	-0.272996371170655	-0.272996371170655	0	0.42015080938929	0.42015080938929	0.42015080938929	0.42015080938929	0	0	-0.272996371170655	-0.272996371170655	-0.272996371170655	0	-0.272996371170655	0	0	0	-0.272996371170655	0	-0.272996371170655	-0.272996371170655	0	-0.272996371170655	0	0	0	0	0	0	0	0	0	0	-0.272996371170655	0	0.825615917497454	-0.272996371170655	0.42015080938929	0	0	-0.272996371170655	0	0	0	0.42015080938929	0.42015080938929	0	0	0	-0.272996371170655	0	0	-0.272996371170655	0	0	-0.272996371170655	0.42015080938929	0	0	0	0	0	-0.272996371170655	-0.272996371170655	-0.272996371170655	-0.272996371170655	-0.272996371170655	0.42015080938929	0.42015080938929	0.825615917497454	0	0	-0.272996371170655	-0.272996371170655	-0.272996371170655	0	0	0	0	0	-0.272996371170655	-0.272996371170655	-0.272996371170655	-0.272996371170655	-0.272996371170655	0.42015080938929	0	0	1.5187630980574	0	0
"Streptococcus lutetiensis strain DD06"	-0.890799868900981	-0.890799868900981	0	-0.890799868900981	0	-0.890799868900981	0	0.49549449221891	0	-0.890799868900981	-0.197652688341035	0	0	0	-0.197652688341035	0	-0.197652688341035	-0.890799868900981	-0.890799868900981	0	-0.197652688341035	-0.890799868900981	-0.890799868900981	-0.890799868900981	0	-0.890799868900981	-0.197652688341035	0	-0.890799868900981	0.207812419767128	-0.197652688341035	-0.890799868900981	-0.890799868900981	1.05511028015433	-0.197652688341035	0	0	-0.890799868900981	-0.197652688341035	-0.197652688341035	-0.890799868900981	-0.890799868900981	-0.197652688341035	-0.890799868900981	-0.197652688341035	-0.890799868900981	1.30642470843524	0	0.49549449221891	-0.890799868900981	0	-0.890799868900981	-0.890799868900981	0.49549449221891	-0.890799868900981	0	-0.890799868900981	-0.890799868900981	1.50709540389739	-0.890799868900981	0	0	0.49549449221891	0	-0.197652688341035	0.207812419767128	0	1.30642470843524	-0.197652688341035	1.05511028015433	1.30642470843524	-0.890799868900981	-0.890799868900981	0	2.28725396144696	2.57493603389875	-0.890799868900981	-0.890799868900981	-0.890799868900981	-0.890799868900981	0	0.207812419767128	-0.197652688341035	0	0	3.15225139893357	-0.890799868900981	-0.197652688341035	-0.890799868900981	-0.890799868900981	0	-0.890799868900981	0	-0.197652688341035	0.207812419767128	-0.197652688341035	-0.890799868900981	0	-0.890799868900981	0.71863804353312	1.8817888533388	0	0.49549449221891	0.71863804353312	0.207812419767128	-0.890799868900981	-0.890799868900981	-0.197652688341035	0.49549449221891	0	-0.890799868900981	1.18864167277885	-0.890799868900981	-0.197652688341035	-0.890799868900981	0.900959600327074	1.41178522409307	-0.890799868900981	0	0	-0.890799868900981	0	0	2.15372256882244	-0.890799868900981	1.41178522409307	0.71863804353312	1.18864167277885	-0.197652688341035	-0.197652688341035	-0.890799868900981	-0.890799868900981	-0.197652688341035	1.99957188899518	1.94241347515524	0.900959600327074	-0.890799868900981	0	0.71863804353312	0.207812419767128	1.99957188899518	-0.890799868900981	-0.890799868900981	1.94241347515524	1.81725033220123	1.59410678088702	-0.890799868900981	-0.197652688341035	-0.197652688341035	0.207812419767128	0.49549449221891	1.41178522409307	0	0.207812419767128	0.207812419767128	0.207812419767128	0.207812419767128	-0.197652688341035	0.207812419767128	4.91131850647608	-0.890799868900981	-0.890799868900981
"Varibaculum cambriense DORA_20"	0.258085459770157	-0.840526828897952	-0.840526828897952	-0.147379648338006	-0.147379648338006	-0.840526828897952	-0.840526828897952	-0.147379648338006	0	1.10538332015736	0.768911083536149	-0.840526828897952	-0.840526828897952	-0.147379648338006	-0.147379648338006	-0.840526828897952	-0.840526828897952	-0.147379648338006	-0.840526828897952	-0.840526828897952	-0.840526828897952	-0.840526828897952	-0.840526828897952	-0.147379648338006	-0.840526828897952	-0.147379648338006	-0.840526828897952	1.10538332015736	-0.840526828897952	0.951232640330103	-0.840526828897952	-0.840526828897952	-0.147379648338006	0.258085459770157	-0.840526828897952	0	-0.840526828897952	-0.147379648338006	1.10538332015736	-0.840526828897952	0.258085459770157	1.46205826409609	-0.840526828897952	-0.147379648338006	-0.840526828897952	-0.147379648338006	0.258085459770157	-0.840526828897952	-0.840526828897952	-0.840526828897952	-0.840526828897952	-0.840526828897952	0.545767532221939	0.545767532221939	-0.147379648338006	-0.840526828897952	0	0.258085459770157	-0.840526828897952	0.258085459770157	0.768911083536149	-0.840526828897952	-0.147379648338006	-0.840526828897952	0.258085459770157	0.545767532221939	0.545767532221939	-0.840526828897952	0.545767532221939	0.768911083536149	0.768911083536149	0.545767532221939	0.768911083536149	-0.147379648338006	0.258085459770157	1.23891471278188	0.258085459770157	0.545767532221939	-0.840526828897952	-0.840526828897952	-0.840526828897952	0.258085459770157	-0.147379648338006	0.768911083536149	-0.840526828897952	1.35669774843827	-0.147379648338006	-0.147379648338006	0.545767532221939	-0.147379648338006	-0.147379648338006	-0.840526828897952	0	-0.840526828897952	2.37834899597025	0.545767532221939	-0.147379648338006	0.768911083536149	0.545767532221939	-0.840526828897952	-0.840526828897952	0.258085459770157	-0.840526828897952	-0.147379648338006	-0.147379648338006	-0.840526828897952	-0.147379648338006	-0.840526828897952	-0.840526828897952	-0.840526828897952	0.258085459770157	-0.840526828897952	-0.840526828897952	-0.147379648338006	-0.840526828897952	-0.840526828897952	-0.147379648338006	-0.840526828897952	-0.840526828897952	-0.840526828897952	-0.840526828897952	-0.840526828897952	-0.147379648338006	-0.147379648338006	0.951232640330103	-0.147379648338006	1.46205826409609	1.55736844390042	0.545767532221939	0.768911083536149	0.258085459770157	-0.840526828897952	1.23891471278188	-0.147379648338006	0.258085459770157	-0.840526828897952	1.10538332015736	1.35669774843827	1.10538332015736	0.951232640330103	1.46205826409609	0.258085459770157	0.258085459770157	-0.147379648338006	0.258085459770157	1.99268651515826	-0.147379648338006	-0.147379648338006	0.258085459770157	0.545767532221939	0.768911083536149	1.35669774843827	1.35669774843827	0.951232640330103	0.768911083536149	0.545767532221939	0.258085459770157	1.10538332015736	1.55736844390042	2.94366280502031	0.768911083536149	-0.840526828897952
"Clostridiales bacterium UBA4696"	0	-0.205384941528073	2.1925103312703	3.19581244013408	1.87405660015176	-1.59167930264796	0	-0.493067013979855	0.35423084640735	-0.493067013979855	0.35423084640735	0.200080166580091	-0.205384941528073	4.53737090741258	-1.59167930264796	0.200080166580091	-0.898532122088018	1.9346812219682	0.35423084640735	-0.898532122088018	-1.59167930264796	0.200080166580091	-0.205384941528073	-0.205384941528073	0.710905790346082	-1.59167930264796	1.58637452769998	-1.59167930264796	-0.898532122088018	-0.493067013979855	-0.898532122088018	0.0177586097861369	-0.898532122088018	3.19581244013408	-1.59167930264796	2.12189276405634	0.893227347140036	-1.59167930264796	0	-0.898532122088018	-0.493067013979855	-1.59167930264796	-1.59167930264796	3.72644069119625	0.0177586097861369	2.82716130514863	3.05271159649341	-1.59167930264796	-0.898532122088018	-0.898532122088018	2.89695706708418	-1.59167930264796	-0.898532122088018	-0.898532122088018	-0.898532122088018	0.0177586097861369	-0.205384941528073	0	3.27585514780762	0.35423084640735	3.26035096127165	-1.59167930264796	0.0177586097861369	-1.59167930264796	0	-0.898532122088018	0	0.487762239031872	-0.898532122088018	-1.59167930264796	-1.59167930264796	0.200080166580091	0.973270054813573	2.27952170825993	-0.493067013979855	0.200080166580091	-0.205384941528073	-0.205384941528073	-1.59167930264796	-1.59167930264796	0.0177586097861369	-1.59167930264796	-1.59167930264796	1.87405660015176	0.0177586097861369	-1.59167930264796	0.806215970150407	1.11637089845425	0	-1.59167930264796	-1.59167930264796	-1.59167930264796	-1.59167930264796	-1.59167930264796	1.2986924552482	0.0177586097861369	2.89695706708418	0.200080166580091	-0.205384941528073	-0.898532122088018	-0.898532122088018	2.07188234348168	0	1.54381491328119	1.45284313507546	-0.493067013979855	0.487762239031872	1.24153404140825	2.59797543937846	-0.205384941528073	-0.898532122088018	-0.493067013979855	-1.59167930264796	3.41895599144829	3.52030848570858	3.03329351063631	2.94092019050529	0	0.35423084640735	2.12189276405634	1.24153404140825	-0.205384941528073	-1.59167930264796	0	-1.59167930264796	-0.493067013979855	0	0	0	0	0	1.35275967651848	0	-0.898532122088018	0.0177586097861369	0.200080166580091	-1.59167930264796	-1.59167930264796	-1.59167930264796	-1.59167930264796	-1.59167930264796	-0.205384941528073	-0.493067013979855	0	0	0	0	0	0	-1.59167930264796	-1.59167930264796	-1.59167930264796	0	0	0	-0.898532122088018	-1.59167930264796	0	0	0	0	-1.59167930264796
"Dialister invisus CAG:218"	-0.0705075561881153	0.30836809773081	-0.136796880224039	0.160187584890055	-0.0138351690892046	0.0186880226163556	0.259278487534286	0.122447256907208	-0.0165937915282842	-0.171665705874863	-0.27702622153269	0.155547205333553	0.169404239994979	0.180806872092791	0.103029171050106	0.21644538754015	0.0501866896757266	0.396210799067926	-0.0138351690892046	-0.0165937915282842	0.360858280352206	-0.07342726629145	-0.149336229476775	-0.165234815544573	0.0501866896757266	-0.146186620573878	0.112785345995471	0.0630238364364073	0.238091254314842	-0.0881550730016935	0.162499724648435	0.0981151562476774	0.171695191741535	-0.000155065185124315	0.314338264717313	0.178536723558252	0.205444176478176	0.0397969858265907	0.715827224445838	0.155547205333553	-0.402906467421693	0.33398526210111	0.117627970471259	-0.130585680131399	0.0807234135358083	0.0527673362692183	0.0133404162897602	0.148546009874569	0.0807234135358083	0.107919156344298	0.173980907022391	0.115209589606977	0.0292982017283711	0.0160177940604767	0.0553413402643911	0.26346259405686	-0.0446068277559583	0.183071878723643	-0.07342726629145	-0.0822378959736049	-0.0221339719038997	0.0681129059438786	0.0450053309337289	0.0240071840939555	-0.0361202138786395	0.0882140852649659	1.38681841310858	0.242364765092224	0.0630238364364073	-0.127494487561726	-0.152495789767143	-0.0277050169533549	-0.118277832456802	0.103029171050106	-0.115224394969912	0.0213511400358393	0.0240071840939555	0.0133404162897602	0.351343460710868	0.115209589606977	0.122447256907208	0.357063209383655	0.316320425921305	-0.191210301947834	-0.184652901401675	-0.0474517798881896	0.0882140852649659	0.0756982773331352	0.124848218444746	-0.355278418432438	-0.127494487561726	-0.130585680131399	0.117627970471259	0.192080948666009	-1.15464781224769	-0.0277050169533549	0.107919156344298	-0.20112773860518	-0.207794429963369	0.065571608515206	0.0345613717726457	-0.266330932415942	0.39803728359396	-0.162034812813902	-0.121340621987348	0.0906985585926278	0.0319332493663762	0.0756982773331352	0.115209589606977	-0.118277832456802	0.146201342915315	0.0160177940604767	0.280026119728535	-0.0138351690892046	-0.0277050169533549	0.085723423952514	0.0882140852649659	-0.0138351690892046	-0.0822378959736049	0.192080948666009	0.0371826052525199	0.370283420811789	0.320273000237128	0.00526500228421489	-0.0705075561881153	0.112785345995471	-0.155665364528422	-0.27702622153269	-0.0822378959736049	-0.317251022843199	-0.248755787594434	-0.165234815544573	-0.204455528697854	-0.0911268433908509	0.362750428504244	0.401680274872461	-0.118277832456802	-0.501066231893936	-0.492137601149635	-0.595032024312268	-0.661213931193569	0.0906985585926278	0.0706477615470666	-0.056035523579581	0.0931768746070949	-0.501066231893936	-0.0675963459806569	-0.0646935863226955	-0.00287615529948504	-0.0277050169533549	-0.27702622153269	-0.291466905687484	-0.262791105710818	-0.184652901401675	-0.155665364528422	-0.231484201085773	-0.478892374399614	-0.366974458195629	-0.53295959566989	-1.3756385102008	-0.231484201085773	0.88298345937213
"Eubacterium rectale T1-815"	0.191638711236814	-0.199118208871471	0.283970918187349	-0.12737430401263	-0.532454870681716	-0.937919978789881	0.0861850032766045	0.472729356696527	-0.185981730966102	-0.939651580954159	-0.355820350276661	0.587647262753845	-0.120093183514492	0.301657079041018	1.35099072963515	-0.168997901782222	-1.00315078102121	0.126074596796909	1.10720231272683	-0.219995793893027	-0.295792955637593	1.15216968716038	0.0227021533644685	-0.090004415004199	-0.747843105228448	0.514884358526352	1.07709837535496	1.012306102731	0.390503318930758	-0.670776098213234	1.79225956152481	0.87579959150397	-0.117804852996479	0.112550724263583	0.606471786569907	0.801300960433916	0.676866924052902	1.10170378571627	-0.319746196660086	0.676694821823753	1.34421521865155	-0.63308482711185	-0.111728115725071	0.00533944674155618	-0.577273692326963	0.141183756984992	0.135581501436322	0.630731982303698	0.476941662840699	0.786914425190852	0.787530853011265	0.858011858191702	-0.465001052980668	0.287787231176867	1.18417578788493	0.660558443241768	-0.163001481655781	1.19212257618374	0.346707536474972	0.531539704905073	-0.338570281905722	0.649300628653087	0.71518708224458	-0.956253098106701	-0.406376209633144	0.352912806982913	-0.544639529698084	0.216760805354152	-0.148362248904852	-0.454810565223836	-0.43160277257882	-0.520416892122237	-0.573060625607659	0.445125164698305	-0.329584645660374	-0.12430210497566	0.853839490438174	0.793061670613014	1.05553199774007	-0.727311410545367	0.60978976196409	-0.232734819670457	-0.16419789256619	-1.2187054721826	0.600917245349341	-0.501228944513484	-0.0327636695323907	-0.0130159292376109	0.278603493160853	-1.00222784602261	0.967126981948957	1.08593935377445	0.265447105792705	-0.636278697600727	-1.60376170865956	-0.150721668009621	0.773880881496599	-0.904739563656592	-0.787979831498966	-0.652402877956614	-0.643985864845665	0.498769782381582	0.426289741455639	0.286516744409606	0.440340466574968	0.31706493852731	0.200267853160311	0.424962307632401	0.308147366426998	0.757346373638766	-0.0651220482352777	1.61072740426437	1.0987738760251	0.720966967875372	0.41941228783613	0.861880889313168	0.808568214219188	1.23123257976765	-0.829019025083016	0.513872110236659	-0.197879307205678	1.08353591914111	0.696632433765634	-0.62167062582741	0.171304771446487	0.865164964514358	-0.889789119078153	-1.27404625450123	-0.367487959545301	-0.965991997568567	-0.893919649527443	-0.331469660356145	-0.670114065749464	-0.817449285535605	-0.430039865253647	-0.473120177419172	-1.17609813076225	-1.46854822985205	-0.114761868525894	-0.189658956764463	-0.728713935319453	0.588587554313487	0.587647262753845	-0.632447275289171	-0.586361909984936	-0.940518507753144	1.14206207422683	1.09356906680977	-1.54017060587803	-1.50600579238695	-0.7058201154536	-0.65696463236452	-1.11851292668322	-0.547562653673688	-0.522127756525867	-1.14795774578378	-1.41277967030116	-1.66270424429301	-1.61051849112244	-1.94563571398619	0.88422660766585	-0.268406283312596
