CLR_TAX	CO01	CO02	CO03	CO04	CO05	CO06	CO07	CO08	CO09	CO10	CO11	CO12	CO13	CO14	CO15	CO16	CO17	CO18	CO19	CO20	CO21	CO22	CO23	CO24	CO25	CO26	CO27	CO28	CO29	CO30	CO31	CO32	CO33	CO34	CO35	CO36	CO37	CO38	CO39	CO40	CO41	CO42	CO43	CO44	CO45	CO46	CO47	CO48	CO49	CO50	CO51	CO52	CO53	CO54	CO55	CO56	CO57	CO58	CO59	CO60	CO61	CO62	GS01	GS02	GS03	GS04	GS05	GS06	GS07	GS08	GS09	GS10	GS11	GS12	GS13	GS14	GS15	GS16	GS17	GS18	GS19	GS20	GS21	GS22	GS23	GS24	GS25	GS26	GS27	GS28	GS29	GS30	GS31	GS32	GS33	GS34	GS35	GS36	GS37	GS38	GS39	GS40	GS41	GS42	GS43	GS44	GS45	GS46	GS47	GS48	GS49	GS50	GS51	GS52	GS53	GS54	GS55	GS56	GS57	GS58	GS59	GS60	GS61	GS62	GS63	GS64	GR01	GR02	GR03	GR04	GR05	GR06	GR07	GR08	GR09	GR10	GR11	GR12	GR13	GR14	GR15	GR16	GR17	GR18	GR19	GR20	GR21	GR22	GR23	GR24	GR25	GR26	GR27	GR28	GR29	GR30	GR31	GR32	GR33	GR34	GR35	GR36
Clostridium perfringens SM101	0	-1.693286762	0	0	0	0	0	0	0	0	0	0	0	-0.083848849	0	0.791619888	0	0	-1.693286762	0	0	-0.083848849	0	0	0	0	-0.594674473	0	0	0	-1.693286762	0	-1.693286762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.098472707	0	0	0	0	0	0	0	0	0.609298331	0	0	0	0	0	2.87106143	0.252623387	0	0	0	-1.693286762	0	0	0	0	0	0	0	0	0	0	0	3.976594161	0	0	0	-1.693286762	0	0	0.871662596	1.890232177	1.139926582	0	0	0	0	0	0	0	0	0	-0.594674473	-1.693286762	0	0	0	1.07930196	0	0	0.098472707	0	0.791619888	0	0	0.704608511	0	0	-1.693286762	-1.693286762	-1.693286762	0	0	-0.594674473	0.252623387	0	0	3.102503784	0	0	-1.693286762	0	0	0	0	0	0	0	0	-1.000139581	-1.000139581	-1.000139581	0	1.564809776	0	0	3.482862971	0	0
Coprobacillus sp. 8_2_54BFAA	-0.295470778	-1.182773973	-0.489626793	0.468628138	-0.82609903	-1.182773973	-1.256881946	0.028316299	-1.049242581	-0.454535473	0.069988995	-1.624606726	-0.877392324	0.090191702	0.33705178	-0.988617959	-0.238312365	0.167152743	-0.454535473	-0.643777473	0.33705178	-0.82609903	-1.336924653	-1.42393603	-0.525994437	-0.525994437	-0.184245143	0.689028203	-0.643777473	1.045703147	-0.266483242	-1.113781102	-0.015168813	-0.686337087	-1.42393603	-1.624606726	-0.602955478	-0.82609903	-0.266483242	-0.132951849	0.763136176	0.812897685	-1.336924653	-0.489626793	0.167152743	-0.454535473	-0.82609903	-0.420633921	-0.454535473	-0.387844099	-1.875921154	0.14846061	1.576331398	-0.060631187	0.006810093	-1.51924621	-0.563734765	0.982189742	-0.325323742	-0.158269657	-0.602955478	-0.266483242	-0.238312365	-0.3560954	0.620819953	1.161775319	0.028316299	-0.420633921	1.126928587	-0.454535473	-0.238312365	-0.015168813	0.129412415	0.812897685	-0.777308865	-0.686337087	0.167152743	0.090191702	0.090191702	-0.877392324	-0.931459545	0.10999433	-0.158269657	-0.82609903	-0.686337087	0.069988995	-1.256881946	-1.113781102	-0.108259236	-0.420633921	0.090191702	0.238611707	-1.875921154	-0.3560954	-1.875921154	-0.21091339	1.94960982	-0.084161685	-0.084161685	-1.113781102	-0.454535473	-0.931459545	0.129412415	-0.73078885	-0.238312365	-0.420633921	-0.21091339	0.10999433	-0.158269657	-0.686337087	-0.563734765	-0.266483242	-0.931459545	-0.877392324	-0.73078885	-0.988617959	-1.049242581	-0.084161685	-0.643777473	-1.51924621	-0.132951849	-1.742389761	-0.82609903	-0.266483242	0.96566044	0.440848574	1.098149623	1.253342512	0.742516888	1.168601284	1.126928587	-0.643777473	0.272513259	2.174620786	-0.602955478	-1.42393603	0.914367145	2.113062893	1.827142935	1.90826848	1.486436394	0.49565681	1.435664069	2.208853957	1.208606618	3.782066665	1.234414502	1.703621636	2.086251635	2.368484103	1.098149623	1.486436394	3.328870155	1.476486063	1.594269099	0.71076819	1.571796243	0.973959243	1.695621593	3.519652549	0.069988995	-0.132951849
Haemophilus sp. HMSC066D02	0	0.087438238	-0.605708943	0	0	-0.605708943	-0.605708943	0	1.473732599	0	0	-0.605708943	0	0	0	0	0	0	0.087438238	-0.605708943	0.492903346	0	0	0	0	-0.605708943	0.087438238	0	0.492903346	0	0.087438238	0	0	0	0	0	0	-0.605708943	0	0	0	-0.605708943	0	0	0	0	0	0	0	-0.605708943	0.087438238	0	0	0.492903346	0	-0.605708943	-0.605708943	-0.605708943	0	0	-0.605708943	-0.605708943	-0.605708943	0	0	0.087438238	0	-0.605708943	0.087438238	0.492903346	1.00372897	0	0	0	0	0	0.087438238	1.186050526	0.087438238	0	0	0	0	0	0	-0.605708943	0	0	0	0	0	0	0	0	-0.605708943	-0.605708943	-0.605708943	0	0	0	-0.605708943	1.79218633	1.186050526	0	0	0	0	0	0	0	-0.605708943	-0.605708943	0	0	0	0.780585418	0.492903346	-0.605708943	0	0	0	0.087438238	0	0	0	0.087438238	-0.605708943	0.492903346	0	0	0	0.087438238	0	1.00372897	-0.605708943	-0.605708943	0	0	2.033348387	1.959240415	0.087438238	0	0	0	0	0.087438238	0.492903346	0.492903346	-0.605708943	0.087438238	-0.605708943	-0.605708943	0	-0.605708943	0.087438238	-0.605708943	0	0	0	2.227504401	-0.605708943	0
Lachnospiraceae bacterium CAG:215	0	0	0	0	0	-0.003974471	0	-1.102586759	0	-1.102586759	0	0	0	0	-0.409439579	0	0	-0.409439579	0	0	-1.102586759	0	0	0	0	0	0	0.976854782	-1.102586759	0	0	0	0	0	0	0	0	-0.409439579	0	0	-0.409439579	0	0	0	-1.102586759	0	0	-1.102586759	0	-1.102586759	0	-0.003974471	0.283707602	0	1.295308514	-1.102586759	0	0	-1.102586759	0	-0.409439579	0	-1.102586759	0	0	0	0.68917271	0	0	0	0	0	0	0	0	0	-1.102586759	-1.102586759	-0.409439579	0	0	-1.102586759	-1.102586759	0	-1.102586759	0.283707602	0	0	-0.409439579	0.283707602	0	0	0	-1.102586759	0	0.283707602	0	0.283707602	0.506851153	0	0	0	-1.102586759	-1.102586759	-0.409439579	-1.102586759	1.730626585	0	0	0	-0.409439579	0	0	0	0	0	0	0	-1.102586759	0	0.506851153	0	0	0	1.462362598	0	3.633611689	3.633611689	0	0	0	0	0.976854782	0.84332339	-1.102586759	-1.102586759	3.810068126	2.635082859	3.008287105	3.254122067	0	0.506851153	0.68917271	-1.102586759	-1.102586759	0	0	0	0	0	-0.409439579	-0.003974471	0	0	0	0.506851153	-1.102586759	0	0	0	-0.409439579	-0.003974471
Streptococcus agalactiae strain RBH09	0	-0.272996371	0	0	0	0	0	0	0	0	0	-0.272996371	0	0	-0.272996371	0	0	0	0	0	0	0	0	0	0	0	-0.272996371	0	0	-0.272996371	0	0	0	0	0	0	0	0	-0.272996371	0	0	0	0	0	0	0	0	0	0	0	0	-0.272996371	0	0	0	0	0	0	-0.272996371	0	0	0	0	0	-0.272996371	1.518763098	0	-0.272996371	1.336441541	0	0	-0.272996371	-0.272996371	0	0.420150809	0.420150809	0.420150809	0.420150809	0	0	-0.272996371	-0.272996371	-0.272996371	0	-0.272996371	0	0	0	-0.272996371	0	-0.272996371	-0.272996371	0	-0.272996371	0	0	0	0	0	0	0	0	0	0	-0.272996371	0	0.825615917	-0.272996371	0.420150809	0	0	-0.272996371	0	0	0	0.420150809	0.420150809	0	0	0	-0.272996371	0	0	-0.272996371	0	0	-0.272996371	0.420150809	0	0	0	0	0	-0.272996371	-0.272996371	-0.272996371	-0.272996371	-0.272996371	0.420150809	0.420150809	0.825615917	0	0	-0.272996371	-0.272996371	-0.272996371	0	0	0	0	0	-0.272996371	-0.272996371	-0.272996371	-0.272996371	-0.272996371	0.420150809	0	0	1.518763098	0	0
Streptococcus lutetiensis strain DD06	-0.890799869	-0.890799869	0	-0.890799869	0	-0.890799869	0	0.495494492	0	-0.890799869	-0.197652688	0	0	0	-0.197652688	0	-0.197652688	-0.890799869	-0.890799869	0	-0.197652688	-0.890799869	-0.890799869	-0.890799869	0	-0.890799869	-0.197652688	0	-0.890799869	0.20781242	-0.197652688	-0.890799869	-0.890799869	1.05511028	-0.197652688	0	0	-0.890799869	-0.197652688	-0.197652688	-0.890799869	-0.890799869	-0.197652688	-0.890799869	-0.197652688	-0.890799869	1.306424708	0	0.495494492	-0.890799869	0	-0.890799869	-0.890799869	0.495494492	-0.890799869	0	-0.890799869	-0.890799869	1.507095404	-0.890799869	0	0	0.495494492	0	-0.197652688	0.20781242	0	1.306424708	-0.197652688	1.05511028	1.306424708	-0.890799869	-0.890799869	0	2.287253961	2.574936034	-0.890799869	-0.890799869	-0.890799869	-0.890799869	0	0.20781242	-0.197652688	0	0	3.152251399	-0.890799869	-0.197652688	-0.890799869	-0.890799869	0	-0.890799869	0	-0.197652688	0.20781242	-0.197652688	-0.890799869	0	-0.890799869	0.718638044	1.881788853	0	0.495494492	0.718638044	0.20781242	-0.890799869	-0.890799869	-0.197652688	0.495494492	0	-0.890799869	1.188641673	-0.890799869	-0.197652688	-0.890799869	0.9009596	1.411785224	-0.890799869	0	0	-0.890799869	0	0	2.153722569	-0.890799869	1.411785224	0.718638044	1.188641673	-0.197652688	-0.197652688	-0.890799869	-0.890799869	-0.197652688	1.999571889	1.942413475	0.9009596	-0.890799869	0	0.718638044	0.20781242	1.999571889	-0.890799869	-0.890799869	1.942413475	1.817250332	1.594106781	-0.890799869	-0.197652688	-0.197652688	0.20781242	0.495494492	1.411785224	0	0.20781242	0.20781242	0.20781242	0.20781242	-0.197652688	0.20781242	4.911318506	-0.890799869	-0.890799869
Varibaculum cambriense DORA_20	0.25808546	-0.840526829	-0.840526829	-0.147379648	-0.147379648	-0.840526829	-0.840526829	-0.147379648	0	1.10538332	0.768911084	-0.840526829	-0.840526829	-0.147379648	-0.147379648	-0.840526829	-0.840526829	-0.147379648	-0.840526829	-0.840526829	-0.840526829	-0.840526829	-0.840526829	-0.147379648	-0.840526829	-0.147379648	-0.840526829	1.10538332	-0.840526829	0.95123264	-0.840526829	-0.840526829	-0.147379648	0.25808546	-0.840526829	0	-0.840526829	-0.147379648	1.10538332	-0.840526829	0.25808546	1.462058264	-0.840526829	-0.147379648	-0.840526829	-0.147379648	0.25808546	-0.840526829	-0.840526829	-0.840526829	-0.840526829	-0.840526829	0.545767532	0.545767532	-0.147379648	-0.840526829	0	0.25808546	-0.840526829	0.25808546	0.768911084	-0.840526829	-0.147379648	-0.840526829	0.25808546	0.545767532	0.545767532	-0.840526829	0.545767532	0.768911084	0.768911084	0.545767532	0.768911084	-0.147379648	0.25808546	1.238914713	0.25808546	0.545767532	-0.840526829	-0.840526829	-0.840526829	0.25808546	-0.147379648	0.768911084	-0.840526829	1.356697748	-0.147379648	-0.147379648	0.545767532	-0.147379648	-0.147379648	-0.840526829	0	-0.840526829	2.378348996	0.545767532	-0.147379648	0.768911084	0.545767532	-0.840526829	-0.840526829	0.25808546	-0.840526829	-0.147379648	-0.147379648	-0.840526829	-0.147379648	-0.840526829	-0.840526829	-0.840526829	0.25808546	-0.840526829	-0.840526829	-0.147379648	-0.840526829	-0.840526829	-0.147379648	-0.840526829	-0.840526829	-0.840526829	-0.840526829	-0.840526829	-0.147379648	-0.147379648	0.95123264	-0.147379648	1.462058264	1.557368444	0.545767532	0.768911084	0.25808546	-0.840526829	1.238914713	-0.147379648	0.25808546	-0.840526829	1.10538332	1.356697748	1.10538332	0.95123264	1.462058264	0.25808546	0.25808546	-0.147379648	0.25808546	1.992686515	-0.147379648	-0.147379648	0.25808546	0.545767532	0.768911084	1.356697748	1.356697748	0.95123264	0.768911084	0.545767532	0.25808546	1.10538332	1.557368444	2.943662805	0.768911084	-0.840526829
Clostridiales bacterium UBA4696	0	-0.205384942	2.192510331	3.19581244	1.8740566	-1.591679303	0	-0.493067014	0.354230846	-0.493067014	0.354230846	0.200080167	-0.205384942	4.537370907	-1.591679303	0.200080167	-0.898532122	1.934681222	0.354230846	-0.898532122	-1.591679303	0.200080167	-0.205384942	-0.205384942	0.71090579	-1.591679303	1.586374528	-1.591679303	-0.898532122	-0.493067014	-0.898532122	0.01775861	-0.898532122	3.19581244	-1.591679303	2.121892764	0.893227347	-1.591679303	0	-0.898532122	-0.493067014	-1.591679303	-1.591679303	3.726440691	0.01775861	2.827161305	3.052711596	-1.591679303	-0.898532122	-0.898532122	2.896957067	-1.591679303	-0.898532122	-0.898532122	-0.898532122	0.01775861	-0.205384942	0	3.275855148	0.354230846	3.260350961	-1.591679303	0.01775861	-1.591679303	0	-0.898532122	0	0.487762239	-0.898532122	-1.591679303	-1.591679303	0.200080167	0.973270055	2.279521708	-0.493067014	0.200080167	-0.205384942	-0.205384942	-1.591679303	-1.591679303	0.01775861	-1.591679303	-1.591679303	1.8740566	0.01775861	-1.591679303	0.80621597	1.116370898	0	-1.591679303	-1.591679303	-1.591679303	-1.591679303	-1.591679303	1.298692455	0.01775861	2.896957067	0.200080167	-0.205384942	-0.898532122	-0.898532122	2.071882343	0	1.543814913	1.452843135	-0.493067014	0.487762239	1.241534041	2.597975439	-0.205384942	-0.898532122	-0.493067014	-1.591679303	3.418955991	3.520308486	3.033293511	2.940920191	0	0.354230846	2.121892764	1.241534041	-0.205384942	-1.591679303	0	-1.591679303	-0.493067014	0	0	0	0	0	1.352759677	0	-0.898532122	0.01775861	0.200080167	-1.591679303	-1.591679303	-1.591679303	-1.591679303	-1.591679303	-0.205384942	-0.493067014	0	0	0	0	0	0	-1.591679303	-1.591679303	-1.591679303	0	0	0	-0.898532122	-1.591679303	0	0	0	0	-1.591679303
Dialister invisus CAG:218	-0.070507556	0.308368098	-0.13679688	0.160187585	-0.013835169	0.018688023	0.259278488	0.122447257	-0.016593792	-0.171665706	-0.277026222	0.155547205	0.16940424	0.180806872	0.103029171	0.216445388	0.05018669	0.396210799	-0.013835169	-0.016593792	0.36085828	-0.073427266	-0.149336229	-0.165234816	0.05018669	-0.146186621	0.112785346	0.063023836	0.238091254	-0.088155073	0.162499725	0.098115156	0.171695192	-0.000155065	0.314338265	0.178536724	0.205444176	0.039796986	0.715827224	0.155547205	-0.402906467	0.333985262	0.11762797	-0.13058568	0.080723414	0.052767336	0.013340416	0.14854601	0.080723414	0.107919156	0.173980907	0.11520959	0.029298202	0.016017794	0.05534134	0.263462594	-0.044606828	0.183071879	-0.073427266	-0.082237896	-0.022133972	0.068112906	0.045005331	0.024007184	-0.036120214	0.088214085	1.386818413	0.242364765	0.063023836	-0.127494488	-0.15249579	-0.027705017	-0.118277832	0.103029171	-0.115224395	0.02135114	0.024007184	0.013340416	0.351343461	0.11520959	0.122447257	0.357063209	0.316320426	-0.191210302	-0.184652901	-0.04745178	0.088214085	0.075698277	0.124848218	-0.355278418	-0.127494488	-0.13058568	0.11762797	0.192080949	-1.154647812	-0.027705017	0.107919156	-0.201127739	-0.20779443	0.065571609	0.034561372	-0.266330932	0.398037284	-0.162034813	-0.121340622	0.090698559	0.031933249	0.075698277	0.11520959	-0.118277832	0.146201343	0.016017794	0.28002612	-0.013835169	-0.027705017	0.085723424	0.088214085	-0.013835169	-0.082237896	0.192080949	0.037182605	0.370283421	0.320273	0.005265002	-0.070507556	0.112785346	-0.155665365	-0.277026222	-0.082237896	-0.317251023	-0.248755788	-0.165234816	-0.204455529	-0.091126843	0.362750429	0.401680275	-0.118277832	-0.501066232	-0.492137601	-0.595032024	-0.661213931	0.090698559	0.070647762	-0.056035524	0.093176875	-0.501066232	-0.067596346	-0.064693586	-0.002876155	-0.027705017	-0.277026222	-0.291466906	-0.262791106	-0.184652901	-0.155665365	-0.231484201	-0.478892374	-0.366974458	-0.532959596	-1.37563851	-0.231484201	0.882983459
Eubacterium rectale T1-815	0.191638711	-0.199118209	0.283970918	-0.127374304	-0.532454871	-0.937919979	0.086185003	0.472729357	-0.185981731	-0.939651581	-0.35582035	0.587647263	-0.120093184	0.301657079	1.35099073	-0.168997902	-1.003150781	0.126074597	1.107202313	-0.219995794	-0.295792956	1.152169687	0.022702153	-0.090004415	-0.747843105	0.514884359	1.077098375	1.012306103	0.390503319	-0.670776098	1.792259562	0.875799592	-0.117804853	0.112550724	0.606471787	0.80130096	0.676866924	1.101703786	-0.319746197	0.676694822	1.344215219	-0.633084827	-0.111728116	0.005339447	-0.577273692	0.141183757	0.135581501	0.630731982	0.476941663	0.786914425	0.787530853	0.858011858	-0.465001053	0.287787231	1.184175788	0.660558443	-0.163001482	1.192122576	0.346707536	0.531539705	-0.338570282	0.649300629	0.715187082	-0.956253098	-0.40637621	0.352912807	-0.54463953	0.216760805	-0.148362249	-0.454810565	-0.431602773	-0.520416892	-0.573060626	0.445125165	-0.329584646	-0.124302105	0.85383949	0.793061671	1.055531998	-0.727311411	0.609789762	-0.23273482	-0.164197893	-1.218705472	0.600917245	-0.501228945	-0.03276367	-0.013015929	0.278603493	-1.002227846	0.967126982	1.085939354	0.265447106	-0.636278698	-1.603761709	-0.150721668	0.773880881	-0.904739564	-0.787979831	-0.652402878	-0.643985865	0.498769782	0.426289741	0.286516744	0.440340467	0.317064939	0.200267853	0.424962308	0.308147366	0.757346374	-0.065122048	1.610727404	1.098773876	0.720966968	0.419412288	0.861880889	0.808568214	1.23123258	-0.829019025	0.51387211	-0.197879307	1.083535919	0.696632434	-0.621670626	0.171304771	0.865164965	-0.889789119	-1.274046255	-0.36748796	-0.965991998	-0.89391965	-0.33146966	-0.670114066	-0.817449286	-0.430039865	-0.473120177	-1.176098131	-1.46854823	-0.114761869	-0.189658957	-0.728713935	0.588587554	0.587647263	-0.632447275	-0.58636191	-0.940518508	1.142062074	1.093569067	-1.540170606	-1.506005792	-0.705820115	-0.656964632	-1.118512927	-0.547562654	-0.522127757	-1.147957746	-1.41277967	-1.662704244	-1.610518491	-1.945635714	0.884226608	-0.268406283
