,x
CO01,3.31410610563188
CO02,4.48052816781411
CO03,3.69657463544348
CO04,3.7049898328165
CO05,3.30636223500688
CO06,2.35865982276725
CO07,3.06327360876106
CO08,3.49109264823656
CO09,2.85247964950822
CO10,3.00822694659542
CO11,3.18678201626483
CO12,3.68699742287536
CO13,3.09477815171328
CO14,3.79816822827352
CO15,3.18233961394039
CO16,4.05003051970572
CO17,3.23251638108793
CO18,3.834830328993
CO19,3.41990698301431
CO20,3.12592718260772
CO21,3.94815514975032
CO22,3.35926302862479
CO23,4.20520612098226
CO24,4.16469276182986
CO25,3.75424467941139
CO26,3.12600032024404
CO27,3.03764297951397
CO28,3.18568174173844
CO29,3.23615428916795
CO30,3.20252513542031
CO31,2.56663465190281
CO32,3.80549992807891
CO33,3.94847096726835
CO34,3.99720895043624
CO35,4.20020157304791
CO36,4.0653186626713
CO37,3.90777956905488
CO38,3.13303839882974
CO39,2.7549334131383
CO40,3.70462972922182
CO41,3.06581943998837
CO42,2.55148031179101
CO43,3.13481952668174
CO44,3.71850162183264
CO45,3.48102108327084
CO46,3.71200325583544
CO47,3.94906491183233
CO48,3.36634563411407
CO49,3.73619529701538
CO50,3.52228401198702
CO51,3.70456414577736
CO52,3.59257654406472
CO53,3.36436352880193
CO54,3.19217491283753
CO55,3.24952090314559
CO56,3.90034465378885
CO57,3.11463616624194
CO58,2.81499615600637
CO59,3.6252694386864
CO60,3.5480685846004
CO61,3.54088834534338
CO62,3.63051241111853
GR01,3.74299287594749
GR02,3.31213451821601
GR03,3.44906281502187
GR04,4.08409236800635
GR05,4.10850002400141
GR06,3.37770869638893
GR07,3.46737101259081
GR08,3.49671851978145
GR09,4.04804957173445
GR10,3.9434631497759
GR11,2.75316725387682
GR12,2.37110076965652
GR13,3.72650230792647
GR14,3.64865379058099
GR15,3.37671053478285
GR16,3.79930570403697
GR17,3.6902304886351
GR18,3.45617563701002
GR19,3.45811396992193
GR20,3.11802518879912
GR21,2.97897931663896
GR22,3.00449891660455
GR23,2.40103239084708
GR24,2.40772743286349
GR25,3.08041274345084
GR26,3.31112518383796
GR27,2.77930524889958
GR28,3.30741726348972
GR29,3.31671497022891
GR30,3.12094343273029
GR31,2.95765453390988
GR32,3.20547173738371
GR33,3.18421626475291
GR34,3.21852489573566
GR35,2.89886580042948
GR36,3.19034706437901
GS01,3.52267990782164
GS02,3.31990635246888
GS03,3.37155902854449
GS04,3.17930923405805
GS05,3.73077120782796
GS06,2.23300725381492
GS07,3.14436827382221
GS08,3.91744764148529
GS09,3.93336528396181
GS10,4.02720309505302
GS11,3.85854782023875
GS12,3.83154504091157
GS13,3.73305737731187
GS14,3.81069243641922
GS15,3.62144093323043
GS16,3.55367399804862
GS17,3.38105772631397
GS18,4.11114402943684
GS19,3.93068660290042
GS20,4.04506663858218
GS21,4.07202512707493
GS22,3.61688667592681
GS23,2.93943131508695
GS24,3.00903430992031
GS25,3.66423415086347
GS26,3.73439928147352
GS27,3.37717106513706
GS28,3.33409676002246
GS29,3.52131275218358
GS30,3.53662302995881
GS31,4.21725962182142
GS32,3.3545841379827
GS33,2.43710439454407
GS34,3.70212112054101
GS35,3.72495868669491
GS36,3.56731782074469
GS37,3.52806285898191
GS38,3.36601773938554
GS39,3.51092926855353
GS40,3.2833357116748
GS41,3.0046882627435
GS42,3.69448055977847
GS43,3.75721646487969
GS44,3.71961164230227
GS45,3.97750022924009
GS46,3.81204791255496
GS47,3.78257520408318
GS48,3.34103517394049
GS49,3.77157125409237
GS50,2.62192751828165
GS51,3.68535896008857
GS52,3.76431270623374
GS53,4.02397787313683
GS54,4.22426044829573
GS55,4.25957875898505
GS56,3.43836101611124
GS57,3.03301870131587
GS58,3.95249232044422
GS59,3.9101712465917
GS60,3.47738629371488
GS61,3.77866922991173
GS62,3.66357767874915
GS63,3.22286714967631
GS64,3.4181524474354
