,x
CO01,0.937944123734745
CO02,0.968185799573005
CO03,0.92823329390716
CO04,0.941477027004138
CO05,0.880992007339802
CO06,0.728623460299671
CO07,0.882392009627254
CO08,0.940848155469119
CO09,0.883749115971785
CO10,0.850218221178039
CO11,0.903506986289979
CO12,0.93532821432836
CO13,0.897618425413365
CO14,0.945313685870052
CO15,0.905120767368525
CO16,0.94834653455408
CO17,0.916521474190255
CO18,0.944624850312436
CO19,0.911521264430769
CO20,0.89480902309253
CO21,0.938787731455551
CO22,0.908412886067115
CO23,0.94665763883476
CO24,0.939597083768801
CO25,0.935772532964471
CO26,0.917082608157281
CO27,0.872460724905084
CO28,0.926238933566519
CO29,0.898894853185516
CO30,0.8764793640324
CO31,0.79340204278542
CO32,0.921423704863602
CO33,0.960771178957412
CO34,0.95919568005816
CO35,0.962120744365063
CO36,0.954859057161257
CO37,0.928081711004002
CO38,0.898594777447478
CO39,0.839408558021961
CO40,0.939922679144728
CO41,0.892404304926179
CO42,0.817031536067482
CO43,0.791310335041372
CO44,0.937879582997796
CO45,0.892662377286323
CO46,0.940058742179564
CO47,0.939715184306842
CO48,0.909308460502041
CO49,0.954297522964055
CO50,0.90979073592663
CO51,0.931995367431136
CO52,0.930236891576464
CO53,0.921832280599272
CO54,0.908063005731149
CO55,0.903892344957885
CO56,0.938056192932287
CO57,0.903527244562595
CO58,0.883971470434823
CO59,0.947496553120006
CO60,0.942013532027301
CO61,0.936086612990726
CO62,0.924130138521254
GR01,0.952911978753939
GR02,0.910994694043863
GR03,0.916932672484349
GR04,0.957914494305512
GR05,0.960338890675492
GR06,0.93869400538033
GR07,0.90266307247232
GR08,0.923164287534265
GR09,0.95470687266627
GR10,0.952382904411336
GR11,0.875883148589824
GR12,0.784501666625386
GR13,0.939968974357716
GR14,0.935886190871702
GR15,0.915378358384565
GR16,0.950601023163637
GR17,0.944664644232415
GR18,0.898827826950125
GR19,0.904472090133233
GR20,0.880454860632386
GR21,0.918455084345268
GR22,0.918513897924872
GR23,0.814324835865283
GR24,0.774150420289275
GR25,0.909024835734203
GR26,0.922343214976205
GR27,0.81588937091463
GR28,0.892744293333176
GR29,0.895964377433136
GR30,0.883995242452925
GR31,0.874287488986898
GR32,0.918704675394647
GR33,0.915982602534731
GR34,0.90126289075263
GR35,0.887740457036558
GR36,0.904816605995523
GS01,0.92224470884944
GS02,0.892081350980142
GS03,0.90994098671606
GS04,0.864067698063611
GS05,0.955086560783738
GS06,0.626484063536421
GS07,0.857463599692957
GS08,0.949040517415825
GS09,0.95038709667916
GS10,0.952352164795692
GS11,0.9456361701755
GS12,0.93633331099949
GS13,0.928995308558334
GS14,0.93007736964171
GS15,0.927109486829653
GS16,0.927686850844266
GS17,0.913418326706783
GS18,0.942197113235253
GS19,0.954759176216736
GS20,0.961207033685641
GS21,0.963578052663379
GS22,0.936726682457799
GS23,0.828861087800304
GS24,0.863959646586266
GS25,0.938939971050219
GS26,0.94389085064825
GS27,0.934761855206513
GS28,0.9358475540543
GS29,0.930455373226725
GS30,0.928037884009546
GS31,0.957556208762628
GS32,0.938731083373065
GS33,0.69434599865875
GS34,0.937995570335207
GS35,0.933969864987726
GS36,0.940177037622031
GS37,0.934568955199129
GS38,0.923174913249661
GS39,0.934302932698203
GS40,0.914327455334713
GS41,0.868616088098497
GS42,0.934887443043345
GS43,0.938030449744044
GS44,0.923148952579401
GS45,0.959165044117315
GS46,0.951056603265083
GS47,0.946774234269014
GS48,0.913942281720539
GS49,0.937596560237264
GS50,0.853317111525139
GS51,0.923921355925903
GS52,0.929808465222208
GS53,0.942325399041729
GS54,0.953137661998147
GS55,0.958774248385727
GS56,0.869516094931786
GS57,0.901153137471793
GS58,0.941427082868085
GS59,0.960321240629152
GS60,0.890302721923417
GS61,0.944795215650496
GS62,0.922633783105935
GS63,0.930240116374661
GS64,0.930418802022232
