""	"CO01"	"CO02"	"CO03"	"CO04"	"CO05"	"CO06"	"CO07"	"CO08"	"CO09"	"CO10"	"CO11"	"CO12"	"CO13"	"CO14"	"CO15"	"CO16"	"CO17"	"CO18"	"CO19"	"CO20"	"CO21"	"CO22"	"CO23"	"CO24"	"CO25"	"CO26"	"CO27"	"CO28"	"CO29"	"CO30"	"CO31"	"CO32"	"CO33"	"CO34"	"CO35"	"CO36"	"CO37"	"CO38"	"CO39"	"CO40"	"CO41"	"CO42"	"CO43"	"CO44"	"CO45"	"CO46"	"CO47"	"CO48"	"CO49"	"CO50"	"CO51"	"CO52"	"CO53"	"CO54"	"CO55"	"CO56"	"CO57"	"CO58"	"CO59"	"CO60"	"CO61"	"CO62"	"GR01"	"GR02"	"GR03"	"GR04"	"GR05"	"GR06"	"GR07"	"GR08"	"GR09"	"GR10"	"GR11"	"GR12"	"GR13"	"GR14"	"GR15"	"GR16"	"GR17"	"GR18"	"GR19"	"GR20"	"GR21"	"GR22"	"GR23"	"GR24"	"GR25"	"GR26"	"GR27"	"GR28"	"GR29"	"GR30"	"GR31"	"GR32"	"GR33"	"GR34"	"GR35"	"GR36"	"GS01"	"GS02"	"GS03"	"GS04"	"GS05"	"GS06"	"GS07"	"GS08"	"GS09"	"GS10"	"GS11"	"GS12"	"GS13"	"GS14"	"GS15"	"GS16"	"GS17"	"GS18"	"GS19"	"GS20"	"GS21"	"GS22"	"GS23"	"GS24"	"GS25"	"GS26"	"GS27"	"GS28"	"GS29"	"GS30"	"GS31"	"GS32"	"GS33"	"GS34"	"GS35"	"GS36"	"GS37"	"GS38"	"GS39"	"GS40"	"GS41"	"GS42"	"GS43"	"GS44"	"GS45"	"GS46"	"GS47"	"GS48"	"GS49"	"GS50"	"GS51"	"GS52"	"GS53"	"GS54"	"GS55"	"GS56"	"GS57"	"GS58"	"GS59"	"GS60"	"GS61"	"GS62"	"GS63"	"GS64"
"CO01"	0	0.451678725785813	0.38694418164617	0.290490687583267	0.433102102406331	0.438828688965903	0.315259880517128	0.397422234946691	0.339904677106793	0.433857296559688	0.474154744710236	0.542147256142732	0.332373508844098	0.402907552386263	0.44291694715584	0.434766752121171	0.534777386797026	0.400626683406842	0.455466666666667	0.387246721660991	0.561499441424398	0.454040033591651	0.53504258722816	0.541879211366561	0.348414392232968	0.334119101500294	0.468181649714883	0.403996524761078	0.365921136315455	0.424685437840821	0.51043587440177	0.541066235864301	0.319622036090082	0.405757091425713	0.527726910399212	0.591518303660736	0.517719037463113	0.351506078082005	0.622852318740133	0.432308908015293	0.560372266268238	0.512000706688076	0.611609464727113	0.470310844889424	0.434735070587102	0.328358849928068	0.47210772783185	0.547850045118887	0.486670285112227	0.559165972355746	0.489722563009838	0.508152492668624	0.257198921810135	0.563416285673795	0.431344642464708	0.505319663930638	0.262276228935719	0.371039371647591	0.34323183118665	0.495139964770052	0.25663141631816	0.466254924928126	0.469017611042146	0.512326278309719	0.429949742343272	0.542304584502853	0.528873179456609	0.366864939591202	0.380359290319505	0.443108203789618	0.520535685748078	0.527154005414879	0.436035840403696	0.582376013518752	0.707580826739819	0.735674354521127	0.599048696672536	0.561644271626292	0.564201385759652	0.568019776768666	0.529046172152223	0.62094883428182	0.416947852363256	0.431375904176714	0.581535254723504	0.629915451398741	0.517225460211208	0.529133650985866	0.608308385216587	0.428831981337153	0.432076092610484	0.39548440239086	0.690496082727746	0.619781393602566	0.668711073577538	0.876333312459557	0.357582394659992	0.41640639061524	0.453917258902137	0.454350058256147	0.434248332750195	0.37961408733813	0.416816934328186	0.780588222874395	0.404901368495706	0.410326390551434	0.454583204676372	0.374247052749335	0.347227139592521	0.480358716275754	0.720559241907105	0.763289944092594	0.432037384772962	0.450172296434954	0.397729500076814	0.573401507283434	0.448852739082086	0.439546026392571	0.444302807622682	0.613682503195593	0.528749595505738	0.413191041036582	0.583246731791027	0.570936139332368	0.30230617709032	0.455321795878779	0.37168941086967	0.3655080454418	0.568857908393805	0.345843938890909	0.907349053611082	0.31676416370979	0.545715830206758	0.300994472802596	0.303442669678959	0.32166435710861	0.312705317830684	0.540378588972645	0.506404800296055	0.346559439582696	0.370865845127269	0.552761480990254	0.36124409566358	0.411591848946926	0.420889669802226	0.394534558698967	0.369630103400493	0.576564959023945	0.465523787116407	0.424784353546759	0.433533257686285	0.582947975315459	0.604912689676016	0.654454382065493	0.371994058160251	0.463697090091471	0.433090912997241	0.577621928368759	0.415460375873478	0.611549366199809	0.262129817869344	0.470880446610212
"CO02"	0.451678725785813	0	0.391886608553923	0.447141995944545	0.483114528495605	0.584665767674829	0.47520592058775	0.464486214722401	0.498656829259145	0.624758199716295	0.595897989475112	0.350890975386437	0.471258781663946	0.444783201587606	0.511547387635767	0.272828159078799	0.570367573690036	0.318526823745379	0.43519656522951	0.479356215773367	0.373223397499073	0.45966218680428	0.267468064960883	0.297056209731173	0.355963565473113	0.549373877135126	0.435886314100137	0.655107409498053	0.458092038491395	0.434934948529218	0.533331181893489	0.379088536925789	0.362457127781202	0.447759548381412	0.304214923001377	0.335530543061621	0.316052856630531	0.434567408119099	0.70299047273581	0.417109170353443	0.612998793415504	0.678655008084426	0.449723186431747	0.443457856411054	0.417591286158986	0.431221921002134	0.461312698632036	0.48695119550238	0.50581759720974	0.422017997319554	0.363860362818546	0.480403453491999	0.445734717466221	0.55230008598453	0.60074564904143	0.266785318735091	0.479618060409258	0.513328681088632	0.444728257021644	0.514140563449162	0.468151510852609	0.375840426634099	0.597311460223945	0.672974865186982	0.446917901281542	0.524479940766882	0.503884421425659	0.430773569964099	0.515618727282598	0.490388101048036	0.391241250252337	0.398159172334312	0.701114391846844	0.731740339965516	0.632700113654822	0.666457659917198	0.657297616174625	0.491487304294926	0.51910402710069	0.518278074459597	0.470038787733725	0.66388865022769	0.646497119393966	0.636628030399532	0.754354839561321	0.744528090718078	0.564988076567776	0.557249439365195	0.695030766058588	0.464955288062163	0.460208402411257	0.542758587131069	0.700451904454492	0.681398774069188	0.703851828632273	0.851557450172811	0.583993935802793	0.492169500897167	0.443706518307226	0.445088594904437	0.452973078614361	0.526937913496978	0.393283371959545	0.758351754665686	0.550687377638182	0.378807196486758	0.379238524156661	0.303071540728909	0.37616150959156	0.382804798351818	0.607300830922707	0.634905890980209	0.442524245321683	0.463328558902504	0.466132864629111	0.335591630119355	0.404682237435892	0.297021341931524	0.309471951721303	0.541710909260968	0.533116756122478	0.506595116715863	0.449462365591404	0.441044502861021	0.434467095657822	0.621082744103209	0.596890418073235	0.57293642107089	0.323260747218497	0.514115514115521	0.854885251936828	0.370645015196412	0.509582913030137	0.52029867705544	0.539907575061489	0.449902891670269	0.451445355102752	0.557103441546833	0.484484961347746	0.437837064430216	0.417714540873991	0.423079451334421	0.322562150887562	0.371505185104117	0.379121512249998	0.475488575068448	0.315057126792551	0.606602787268677	0.428421202528186	0.421426595097123	0.355842315336117	0.337422836940744	0.370948392625153	0.490140553610237	0.552063485189682	0.391515897206459	0.440001760689316	0.404592040974127	0.344647107199463	0.439263028295621	0.518476995617453	0.441835932874787
"CO03"	0.38694418164617	0.391886608553923	0	0.353965992419534	0.326093987249835	0.569168962720679	0.37172712506768	0.304155426578382	0.39936064409188	0.587168382618642	0.541703686046766	0.443731442306652	0.429420054200544	0.278597303448315	0.433517451601399	0.337969294569199	0.464751675527021	0.313704071499505	0.312136066059152	0.36634188302379	0.37779243261067	0.339354401608533	0.338472825905712	0.325988413910001	0.331826046578479	0.468634606896406	0.285631098606267	0.542081999369321	0.272659918719562	0.336514029596834	0.429600237536106	0.376571308325307	0.317237612345449	0.379043191942671	0.486314040432019	0.473402096249552	0.396027869161161	0.339700942680682	0.757215901485743	0.31117503046538	0.520147490552066	0.683476664050951	0.461951098492161	0.285531823132939	0.326474154083545	0.315003919057661	0.304464097471123	0.372393160047213	0.468874447507771	0.368508329764222	0.361386850812835	0.373180143834417	0.387289316325039	0.417928400748682	0.497999956988325	0.326246155888407	0.381331923091454	0.459933298491945	0.338544969495529	0.440068063569632	0.37273737998872	0.381156199713197	0.58977242013082	0.672971291250057	0.384575939250783	0.555952654185387	0.541824907791486	0.355985169779889	0.501892258349081	0.399552504670463	0.529900768876918	0.565669133215468	0.676050877612261	0.709869367432626	0.656089915961824	0.672224181428536	0.648106880254931	0.51801342486818	0.525205024112474	0.627430665372498	0.60323042144004	0.693031578606966	0.593578787636773	0.584525160197512	0.752337042925277	0.750157628420801	0.525091508940655	0.514178890470036	0.673759715043547	0.497678372899094	0.490037319133152	0.506506756390083	0.729104231801419	0.67271956475659	0.676579401330139	0.857605490322234	0.528198369070201	0.344056065816394	0.254700537126184	0.365495364926579	0.381002201442928	0.474705961876439	0.449130111039249	0.739581412002127	0.519793561761421	0.471678507167197	0.502003064798602	0.355628311340687	0.392319742299888	0.272016678248784	0.690225858819175	0.72266204309518	0.315918788184581	0.335122724539442	0.357041344724507	0.386236085787659	0.441037227724962	0.400815733417001	0.433013194704499	0.539375731736953	0.314626286200373	0.503810667715164	0.509760413756076	0.489845850019203	0.364903958359343	0.581315722466319	0.505671667725525	0.474642548308329	0.488118193422238	0.523670257418452	0.863125061133995	0.228984554715742	0.524259716818643	0.459951772679878	0.482400937459314	0.411251238675932	0.404520747641269	0.4758153149722	0.343327700408071	0.229095890713643	0.21037894550445	0.311918181068376	0.238314991011532	0.317498681666374	0.324502362881284	0.268269324946404	0.43657603752288	0.448090830903713	0.42976992220787	0.3982657771507	0.357261936516406	0.442636629119738	0.475476975327144	0.550419800594721	0.486680177561413	0.254808610022571	0.367789682978021	0.451164736448108	0.327316262491528	0.543568010936436	0.42895754143022	0.403992113010834
"CO04"	0.290490687583267	0.447141995944545	0.353965992419534	0	0.356937882573735	0.432625175079389	0.295744440073505	0.32814432318674	0.377676356994018	0.451359737178319	0.484559763179607	0.481280614868345	0.270892112489144	0.291626979731976	0.422727884020552	0.36492412392635	0.52227257297117	0.328003777542293	0.392352565606738	0.379861073717087	0.491527833991493	0.405599995649646	0.459495638417334	0.452397598517389	0.241857752739757	0.367222618097266	0.450937059906838	0.510746510044264	0.314757280500568	0.42374923344929	0.483654300821049	0.476641076654308	0.261358020623992	0.33313139546411	0.505233740677662	0.4977920913709	0.481631730668539	0.371741017746121	0.587314275969392	0.346000666510057	0.531270516063072	0.530101276315372	0.561260658202293	0.392542701179787	0.353224116843729	0.201395336061747	0.371277752930591	0.46408863926921	0.423640412245411	0.461863411061991	0.39913543875107	0.427640874845202	0.29588621255288	0.538102243076959	0.432296042597599	0.436666391434788	0.269126651627458	0.40376035007937	0.305174843437999	0.399577694909	0.256344845630561	0.365041319162616	0.457911642696886	0.517696870678565	0.348995547833643	0.599680196668178	0.581323152167405	0.396883195699766	0.39107483524107	0.420275127699253	0.423152180429821	0.451599763199205	0.54433190247616	0.5786537038994	0.664669752151914	0.709337739761539	0.574233713909146	0.557060675132969	0.562217979868105	0.507921087623135	0.473910751455143	0.610774331298353	0.513504059697698	0.505593671463263	0.594290205677091	0.605514651589631	0.617653055749319	0.619432805919674	0.583392961686076	0.402140365912533	0.396925382698085	0.394195712410677	0.72918704517849	0.646117560505905	0.692815221558117	0.882601572214602	0.416087589528083	0.408847947230753	0.414944529040681	0.420566750492616	0.351801936166176	0.381433200210989	0.455939153296046	0.705436736985903	0.409336614617478	0.336040410198351	0.390682448294835	0.319026677747996	0.268608129992041	0.429568893019964	0.699840052050861	0.738665161685945	0.367818915216123	0.391084826359231	0.347181877303275	0.4738482665417	0.385496728792129	0.398222913676555	0.393248820269984	0.512852785182338	0.422082080560955	0.385906975746791	0.521124149363115	0.500565082796916	0.345844677816674	0.510363867739363	0.389288223531321	0.371430118003683	0.51114210645821	0.460632849981135	0.867521945362403	0.309148591706688	0.546021140259601	0.303858981496998	0.325680221601863	0.423569865582997	0.420850503786493	0.475119542084772	0.450650600845839	0.283444567834722	0.300411386653891	0.436054593014988	0.371411427792175	0.384496793627713	0.382931254693661	0.31692364349272	0.3626582174935	0.591590395176055	0.431441640585677	0.322446542688457	0.343173635805578	0.50542503487523	0.534084068328303	0.557028066567657	0.289501292464769	0.390168001028011	0.300111581990777	0.525476468300277	0.379889332020266	0.537737286659704	0.322433187033436	0.481374741913285
"CO05"	0.433102102406331	0.483114528495605	0.326093987249835	0.356937882573735	0	0.525199249882795	0.40276562038504	0.360164315442409	0.446358506782259	0.563520424539406	0.564875364717389	0.524220473460234	0.441260113431714	0.391378720492647	0.429980540470997	0.399204817036827	0.460203078938751	0.344779099986323	0.417064987465811	0.272886303633905	0.445247438412909	0.374571228845936	0.427754107667466	0.40569918393525	0.332649906257196	0.486622564644702	0.395107575054248	0.607494671657461	0.239105885658402	0.192322876163385	0.486029451137887	0.463802259235466	0.375391214900092	0.41309406212271	0.557861203416366	0.571934274371419	0.437884804446572	0.394524302103765	0.690849221944872	0.36793166711126	0.624176837770012	0.632257312914365	0.408824494259161	0.325715288363474	0.225927039213008	0.330855425577921	0.378728274086262	0.457110191637633	0.531756753091043	0.489982737307566	0.468813274729618	0.464247854001426	0.386365836084615	0.455700130545511	0.477342662563797	0.455128873189224	0.358943615984928	0.518934576042927	0.392417005080271	0.467850903052367	0.404395389512337	0.407785383542239	0.575443017613472	0.661826443686517	0.37418977849437	0.667842761057731	0.654290567860501	0.427735239802588	0.513777422525629	0.344662835104579	0.532367653528429	0.5481011219536	0.674031926663507	0.698482407085611	0.690837185745539	0.731754829683047	0.646970255161701	0.608352352005887	0.616137923579963	0.587995738259937	0.556932341902748	0.67486046660822	0.632292822056728	0.62272525521527	0.695618116342034	0.693908015768725	0.669782264619072	0.674613056265164	0.623307872646149	0.485705946261495	0.478546961834212	0.47471539682967	0.724564560704417	0.698453941693981	0.728048983896221	0.898619864379737	0.54822834122568	0.437870684677198	0.308260082589988	0.287372532002605	0.361771811210015	0.474232997210901	0.466911764705884	0.791217601386071	0.486034955448939	0.404486824833753	0.449963362010478	0.359337037179228	0.379074563346847	0.455559843431283	0.705220957310585	0.750869280727657	0.377361261442567	0.394074114234597	0.381322705032243	0.44645727442548	0.471698733400537	0.45179920520547	0.447054390151994	0.558160040746807	0.317364686540043	0.465653014777379	0.512861474260751	0.494170452381601	0.390486547012781	0.610452557254782	0.54004825610203	0.519974539609251	0.561749811442738	0.536088012204819	0.876811633259135	0.26164208696597	0.621864699076604	0.435217056393186	0.469197117997451	0.524416181493975	0.521366143128974	0.459702442946647	0.342394584806417	0.298744412306074	0.319277604306717	0.427211255316832	0.420897858901676	0.47045973317063	0.46413725672273	0.33119977549071	0.457039295282504	0.608951316085974	0.523079439507118	0.418325639810951	0.393906330076546	0.567819515693094	0.593865050931968	0.654058625494017	0.417505550645601	0.462537507028222	0.366485006161853	0.552282640143681	0.424514338073837	0.536797006345249	0.440627186260008	0.492793227241067
"CO06"	0.438828688965903	0.584665767674829	0.569168962720679	0.432625175079389	0.525199249882795	0	0.338091854191342	0.514763998516715	0.394757361829953	0.30168019633755	0.567087847553236	0.63684903336312	0.385746278487684	0.555079843880081	0.583344280902362	0.567989025298621	0.580626654666225	0.53656954458949	0.566666844295711	0.52647857097772	0.664056825464648	0.571266974333376	0.642365367273439	0.638516368048188	0.454478068903286	0.374246936713897	0.61379915990393	0.594508613430091	0.495459046691062	0.524362256390688	0.627158679334419	0.641993575706058	0.518228217280352	0.570201096892141	0.621105879187412	0.674470613656011	0.628106956245668	0.490537515472335	0.422723249153867	0.556199286205849	0.648794129397172	0.365994475711823	0.697032036858461	0.603350274533402	0.511875117144618	0.420535182711959	0.608167621676111	0.701984635083227	0.573635044102871	0.694129449872727	0.600797845172877	0.643337755118352	0.367999409699896	0.680974258921267	0.466704309592151	0.649209172842628	0.357360981394227	0.482685275411521	0.474216122296082	0.611276923974068	0.382142210771737	0.578884650781748	0.564502141749667	0.479141779560667	0.47381035707847	0.670375898315712	0.656034423151596	0.539379954909663	0.340444002159668	0.542444736578131	0.537819554074701	0.540023444917707	0.480632329389886	0.549130978075657	0.784598485408592	0.830212563953795	0.543152947087983	0.643030540743963	0.644896445786326	0.458849470743824	0.43441130731547	0.573464981238079	0.606742969599669	0.598532733716039	0.387415904111356	0.329147982062781	0.653939698913911	0.675935862634936	0.3662180620705	0.329596804526216	0.34250818046341	0.327874647181409	0.747306634185271	0.655602755938796	0.707905936703987	0.913705451416951	0.400407467811607	0.560973029583359	0.578641003579663	0.520189240910059	0.465122807760965	0.301661409043113	0.528552709442896	0.845524210348665	0.28968253968254	0.499112278202445	0.536157876539272	0.496885965619344	0.447534718686187	0.623462057790983	0.755402693271059	0.810539370266532	0.57032828215529	0.583018517042588	0.515609286175542	0.652252118012693	0.552024734830594	0.576115794428518	0.556102599230455	0.662057085821919	0.62038332697282	0.299992667776975	0.639538227244168	0.630442779836325	0.458901001487987	0.574998156516977	0.4780717498258	0.491112685438764	0.648484528461301	0.527348933212578	0.912370507720671	0.491607889063375	0.673051829985673	0.374254895645793	0.373343248788259	0.536736369953884	0.539077565041466	0.588076310764855	0.626648073022315	0.482641274476127	0.513664933570629	0.67358127605002	0.545541226542236	0.583905873811547	0.584334673210837	0.488408012567905	0.499193191924468	0.752337677363709	0.582080461612441	0.503556433420764	0.530154891025611	0.683707106187523	0.698177093161811	0.754605007996004	0.413682364623609	0.623835151832408	0.540279603939145	0.681642390624084	0.540082572170949	0.651660908849325	0.482621237742725	0.615021797363308
"CO07"	0.315259880517128	0.47520592058775	0.37172712506768	0.295744440073505	0.40276562038504	0.338091854191342	0	0.399490605026673	0.287661262249602	0.388434644270969	0.551116396105621	0.48725435866832	0.30762775777275	0.394921987825417	0.517911997118828	0.402199630513936	0.514344523193143	0.345481664018678	0.502814662025699	0.428968281317098	0.507006691754018	0.46602430276752	0.469428415895486	0.463456718667247	0.329561144651705	0.338545293410142	0.47446103968817	0.560457867302304	0.331212502935714	0.446042396786051	0.496373418826481	0.490117590905151	0.389326343664714	0.419592283634433	0.508234962242864	0.560259433320086	0.451633901835703	0.3300808001444	0.508619287262348	0.449548289954831	0.596316762650535	0.485650001308114	0.549529893989884	0.465883181239678	0.390097491983635	0.334335395129548	0.430215624049039	0.507633731466894	0.50057343751675	0.520634305878305	0.427137530350331	0.525964192505561	0.245323912985737	0.551112967084085	0.399078943208524	0.456794270297216	0.231071883742207	0.411729297900091	0.394012104332924	0.530575385799172	0.268466998975174	0.400948050276696	0.544804424291226	0.467010146679987	0.382844193119079	0.584291680051402	0.563048186828509	0.442850665457553	0.331096041701125	0.449644001234556	0.442942217930149	0.452025791550383	0.446389804301311	0.535147286095632	0.744492172737389	0.787093104236557	0.513810639150896	0.567906313275672	0.577300708485274	0.419411023016266	0.386603894714317	0.568472927219622	0.534229988361231	0.532682758728718	0.517928576623756	0.524114252471161	0.622129359121336	0.635064129414698	0.474035849791616	0.342667051121863	0.338803656385312	0.31422554983622	0.774514628609529	0.637491678870991	0.686851505358055	0.898768234750074	0.348047556031677	0.441328570666952	0.416296835602287	0.403089518890218	0.377337134680891	0.31084038556311	0.471867927040343	0.767988517967255	0.334514847399523	0.379702410613345	0.426828091321461	0.372082945114951	0.354599582887587	0.42179341286392	0.723589820231437	0.763753111745036	0.410887365412307	0.425276891107351	0.422856746533503	0.510157008523632	0.403918682733881	0.478774742131856	0.475179906567266	0.599582391189105	0.499548550821425	0.356935111824291	0.567396100027376	0.556600528816184	0.387711470039198	0.550509903434219	0.408567308868991	0.419291579850474	0.544267687116472	0.501111836414103	0.891346481513034	0.353798439629548	0.583056164996473	0.375554775056676	0.375974143338615	0.443061886139693	0.444764833017371	0.53243416142446	0.494023628629083	0.29431052674296	0.329304382703336	0.486983641348555	0.390105346806844	0.434409203913171	0.436043249309394	0.356582286579515	0.398962896160786	0.585777363151117	0.471933046461408	0.3928153681267	0.385265976553574	0.546995276774484	0.565592660231328	0.637273068066195	0.315782468656002	0.40441111795233	0.456217608171128	0.516860960433093	0.387370788924003	0.591226876530184	0.375116082735332	0.533491087924364
"CO08"	0.397422234946691	0.464486214722401	0.304155426578382	0.32814432318674	0.360164315442409	0.514763998516715	0.399490605026673	0	0.420403093533201	0.584740263194291	0.503667808237476	0.439740007615293	0.406866544437973	0.331139051631449	0.340173874109175	0.397423837926895	0.475704622021474	0.350699789492007	0.302855165627721	0.395972724653457	0.477767060787016	0.324975081490262	0.47617194991644	0.474391812415495	0.341366906474821	0.360688897265329	0.407745314814418	0.458962463095741	0.292124871738395	0.408997790073074	0.437417472419817	0.409738866474128	0.296175814611326	0.38801654245278	0.467758052978473	0.470031684080124	0.506462304588323	0.36252744962893	0.685248949069478	0.308067440664665	0.444881679837052	0.616723711231637	0.558766293771678	0.380255124291323	0.379051407023437	0.27664669355146	0.392459208287981	0.436274669005015	0.457907427085752	0.429807416390995	0.404463550219034	0.368941641938676	0.408308383233534	0.471905689084661	0.467146046442568	0.437453988231897	0.372522512932962	0.400491008799899	0.253723619309453	0.409784929466116	0.380432904173508	0.356012154380059	0.535439913419454	0.631713446734215	0.42778602629484	0.657087430957837	0.643069517966322	0.361398045742512	0.485286536644043	0.433217114670867	0.514258714258717	0.538327423008835	0.65828076866657	0.678036570806192	0.670595294218491	0.716655252118828	0.599796133978203	0.458090465231328	0.463126558335485	0.593960218748491	0.56868319737232	0.676883658129473	0.5072900691191	0.498838785611451	0.698475018428385	0.695111752284179	0.587520336874344	0.588352063522558	0.606956409650462	0.483546780027196	0.476942942458238	0.483802602073311	0.731528326605388	0.673055689553521	0.717712641034009	0.881623133835033	0.475074383135243	0.389992756150565	0.26339497392129	0.473234605718725	0.431876924399643	0.486587095879601	0.427410623358526	0.729994917475858	0.53510313175521	0.419839506439159	0.456268449711553	0.381087137879707	0.396531376953074	0.363430087253915	0.688482758250202	0.72736022022808	0.35342501311385	0.371627558473622	0.300743159070407	0.495167856255877	0.412228624960514	0.453006110996539	0.471561446280321	0.559341598741133	0.390364037210304	0.442553281910713	0.549550522949262	0.533296190316493	0.27026506230463	0.553493193135434	0.460442749890225	0.435071761096692	0.499266147434735	0.531892619457116	0.876968751842147	0.302909359962412	0.533960564725291	0.405856171903873	0.430599917606964	0.481303470152843	0.472208564037883	0.43685580147552	0.424728589953811	0.301040248352486	0.272083494732478	0.407458009390286	0.323238055091685	0.351856967215336	0.367228017964691	0.314409285304172	0.447944976037781	0.46710624586561	0.435254450443421	0.38392368184706	0.35294987755639	0.490348548992086	0.512274386007149	0.548621479584965	0.418335744521247	0.354761232768307	0.346039283166614	0.478738473729061	0.266337834559716	0.511981278578211	0.38532777527016	0.384494075526384
"CO09"	0.339904677106793	0.498656829259145	0.39936064409188	0.377676356994018	0.446358506782259	0.394757361829953	0.287661262249602	0.420403093533201	0	0.453327378293883	0.57252778569393	0.571987032799395	0.239949735477672	0.46363395067413	0.447810703228661	0.41860240342795	0.565163277360561	0.396727511039013	0.498184536522855	0.409610043269967	0.533380069890779	0.512606294100746	0.523104560309942	0.525581950708549	0.346652529373456	0.383928758732091	0.427794475454417	0.590368599509369	0.405200042449327	0.367506479160472	0.493849042512348	0.55819495363382	0.414355321332067	0.504286029859432	0.588574694793154	0.635093075245075	0.535339918902602	0.325905909920941	0.56960030885936	0.485257013342458	0.60128305742683	0.460960218907854	0.597601498794848	0.509079065661053	0.418141426716322	0.40550563247055	0.486291158931815	0.577554086056573	0.560781221697764	0.554177182700948	0.479668577339139	0.561415683553091	0.344180568978174	0.562858989652691	0.472094460800235	0.519790623283469	0.258300080437834	0.343552002351694	0.494191308792369	0.576948410674827	0.300317358722032	0.471076759061838	0.525783619818	0.484596648581973	0.336705471045487	0.644018904477044	0.631158199918996	0.410532567598382	0.405848064877137	0.410846725985803	0.505701272519763	0.536189210736118	0.494350209376116	0.55013477228399	0.703769161979249	0.735388160432954	0.476315844678933	0.636314389050878	0.63520563867674	0.500690446347011	0.469473281143637	0.589203665292621	0.540643340096414	0.535774911101306	0.56800173555512	0.597485965718654	0.527697099249473	0.534354162823184	0.555279700803694	0.356388343330327	0.358971633843833	0.294954749217627	0.688885849408968	0.720743089783838	0.749175649968294	0.889837415364039	0.311809543698445	0.459079297442258	0.447700748766692	0.406731542587475	0.333542093475008	0.381539644827024	0.490806672772612	0.792677771201488	0.395124516790702	0.433944978561349	0.474474730569564	0.428169893816368	0.407048562252277	0.458990220432642	0.746614738093218	0.792061856765054	0.458458843384821	0.473603509593885	0.496438591559755	0.54902284906818	0.50196590988549	0.468063781321187	0.490524757890675	0.642939335606055	0.520338631982028	0.309512439586275	0.610929404922609	0.597420774835996	0.366324593821541	0.640628875718411	0.49853749358666	0.506306649926632	0.636788834039678	0.452102205878475	0.887931399534194	0.383138288225821	0.577267052122242	0.401024197729414	0.391616374071218	0.463451688285656	0.482211957239014	0.581943060649101	0.508645830576655	0.365449880867224	0.378104627983408	0.559827160626038	0.407207745764704	0.467183036812771	0.434225769082253	0.453359197778203	0.33092849519744	0.564249166091408	0.564780264785086	0.465966547877204	0.456207736002168	0.615027643456276	0.637496218178679	0.706838726163478	0.370267852889964	0.484263670935878	0.537002979167341	0.580715013131804	0.458210433282579	0.622885079324507	0.434229300432247	0.462584138979966
"CO10"	0.433857296559688	0.624758199716295	0.587168382618642	0.451359737178319	0.563520424539406	0.30168019633755	0.388434644270969	0.584740263194291	0.453327378293883	0	0.547730986667796	0.715153220198631	0.410316238366588	0.576503414507045	0.587704256340721	0.605152847357126	0.646265477933212	0.561387359161946	0.621585466998423	0.595308010816294	0.746669669862925	0.653308590229676	0.672286177521602	0.668512313984864	0.456823550986507	0.365790593911111	0.681919109288517	0.557426331666685	0.544412835987559	0.564270546724074	0.684143397737934	0.718442877596781	0.527563633231407	0.503088419506718	0.675725332742517	0.730661574847571	0.675620471087918	0.528609129324161	0.320329572663872	0.606786052914929	0.667905248490481	0.307133324992703	0.753529006713719	0.629978096913069	0.571097476379712	0.450753760724733	0.602264792330887	0.735273319476289	0.610113661237196	0.760027006606972	0.638091227615548	0.720972530558751	0.374710259205556	0.708040190420021	0.460186142709412	0.686625400029146	0.368560801626856	0.496659758240141	0.523515822160096	0.62043212800954	0.372975573253516	0.653257124542618	0.483843730375267	0.383816851466792	0.541120470252486	0.501506690773723	0.492450905517493	0.535173395967735	0.322568643500261	0.603326989646894	0.526313820434301	0.529823440121439	0.353738109316487	0.452206911568013	0.766228670208819	0.81464690866337	0.53867175387979	0.602414127114226	0.607739684498295	0.466323201464697	0.450726669047152	0.511155546200803	0.596699216921974	0.606023720349565	0.320642019016268	0.369637441911013	0.576724700532623	0.589604901753647	0.304874807293606	0.423495305726218	0.436095150356523	0.324183013460612	0.80227311066127	0.54415041487172	0.579274007784163	0.816117227623251	0.370216327918597	0.599813051352458	0.654297812430008	0.574011999060574	0.53374924874614	0.257670460544376	0.44448570761624	0.813373438468097	0.226699694318542	0.528625567120365	0.587764323827737	0.484893778902556	0.419243375906224	0.649611124971529	0.828924490479558	0.820223403632571	0.591096172681587	0.576403301446386	0.571021609957802	0.6726408036764	0.515254091114898	0.579063272102269	0.540321670580525	0.697034686036674	0.702148042492496	0.310886278304219	0.707217178360229	0.697954420133518	0.500386763163194	0.477634515511461	0.38501250901073	0.41353902343211	0.737858415337631	0.482954785771688	0.855573531361888	0.497581287449957	0.669548500730307	0.386908832588494	0.362276321154896	0.529094599737812	0.52765169549807	0.629415232319157	0.682422828047101	0.500776146432962	0.533925438004483	0.730404361263735	0.56078070593018	0.598008051417577	0.613567593423664	0.552923555749121	0.497649795460018	0.774150622577545	0.605843410337024	0.544551987253832	0.582239570626987	0.714767905013081	0.716839648946136	0.779340293522969	0.43829818829819	0.63459843062956	0.586286059182059	0.731403249630723	0.59813687462319	0.74966111283075	0.478786986758624	0.666919807191302
