BV	molecule	gene	start	end	strand	direction
a001	genome01	gene01	604915	605886	reverse	-1
a002	genome01	gene02	606352	608220	reverse	-1
a003	genome01	gene03	608242	608538	reverse	-1
a004	genome01	gene04	608541	610157	reverse	-1
a005	genome01	gene05	610226	611584	reverse	-1
a006	genome01	gene06	611589	612461	reverse	-1
a007	genome01	gene07	612498	613781	reverse	-1
a008	genome02	gene01	1422242	1422361	reverse	-1
a009	genome02	gene02	1422736	1423668	reverse	-1
a010	genome02	gene03	1423670	1425508	reverse	-1
a011	genome02	gene04	1425566	1426882	reverse	-1
a012	genome02	gene05	1427128	1428117	forward	1
a013	genome02	gene06	1428275	1430323	forward	1
a014	genome02	gene07	1430354	1431319	reverse	-1
						
						
						
						
						
ER	molecule	gene	start	end	strand	direction
a001	genome01	gene01	14759	15742	forward	1
a002	genome01	gene02	17195	17443	reverse	-1
a003	genome01	gene03	17870	18562	reverse	-1
a004	genome01	gene04	18766	19518	forward	1
a005	genome01	gene05	19632	20966	reverse	-1
a006	genome01	gene06	21917	23320	reverse	-1
a007	genome01	gene07	23322	24116	reverse	-1
a008	genome02	gene01	8017	8607	forward	1
a009	genome02	gene02	8617	9882	reverse	-1
a010	genome02	gene03	10337	11653	reverse	-1
a011	genome02	gene04	11727	12329	reverse	-1
a012	genome02	gene05	12583	13413	forward	1
a013	genome02	gene06	13397	14062	forward	1
a014	genome02	gene07	14759	15742	forward	1
a015	genome03	gene01	149872	150198	reverse	-1
a016	genome03	gene02	151285	152409	forward	1
a017	genome03	gene03	152373	153014	forward	1
a018	genome03	gene04	153027	154223	forward	1
a019	genome03	gene05	154245	154721	forward	1
a020	genome03	gene06	154946	155158	forward	1
a021	genome03	gene07	155218	155604	forward	1
a022	genome04	gene01	11447	12463	forward	1
a023	genome04	gene02	12465	12821	forward	1
a024	genome04	gene03	13136	13387	forward	1
a025	genome04	gene04	13461	13721	reverse	-1
a026	genome04	gene05	13888	14673	forward	1
a027	genome04	gene06	14691	15818	forward	1
a028	genome04	gene07	15998	16591	reverse	-1
a029	genome05	gene01	689687	689914	forward	1
a030	genome05	gene02	690112	690675	forward	1
a031	genome05	gene03	690666	691475	forward	1
a032	genome05	gene04	691958	693454	forward	1
a033	genome05	gene05	693971	695017	forward	1
a034	genome05	gene06	695144	697558	forward	1
a035	genome05	gene07	697596	698387	forward	1
a036	genome06	gene01	950055	950486	reverse	-1
a037	genome06	gene02	950505	953987	forward	1
a038	genome06	gene03	953984	957670	forward	1
a039	genome06	gene04	957901	958479	forward	1
a040	genome06	gene05	958498	958701	forward	1
a041	genome06	gene06	958757	959107	forward	1
a042	genome06	gene07	959289	960071	forward	1
a043	genome07	gene01	31005	31253	forward	1
a044	genome07	gene02	31298	31537	reverse	-1
a045	genome07	gene03	31565	32902	forward	1
a046	genome07	gene04	33080	33589	reverse	-1
a047	genome07	gene05	34158	35087	reverse	-1
a048	genome07	gene06	35102	35425	reverse	-1
a049	genome07	gene07	35587	36768	reverse	-1
a050	genome08	gene01	36897	37526	reverse	-1
a051	genome08	gene02	37795	38838	reverse	-1
a052	genome08	gene03	38849	41365	reverse	-1
a053	genome08	gene04	41531	42742	reverse	-1
a054	genome08	gene05	42766	44679	reverse	-1
a055	genome08	gene06	44702	45133	reverse	-1
a056	genome08	gene07	45459	45833	reverse	-1
						
						
ER	molecule	gene	start	end	strand	direction
a001	genome01	gene01	469632	469946	reverse	-1
a002	genome01	gene02	470087	470317	reverse	-1
a003	genome01	gene03	470489	471118	forward	1
a004	genome01	gene04	471205	472500	forward	1
a005	genome01	gene05	472731	473810	forward	1
a006	genome01	gene06	473803	474519	forward	1
a007	genome01	gene07	474809	475651	forward	1
a008	genome02	gene01	1872279	1873187	reverse	-1
a009	genome02	gene02	1873294	1875549	reverse	-1
a010	genome02	gene03	1875620	1877542	reverse	-1
a011	genome02	gene04	1877581	1878678	reverse	-1
a012	genome02	gene05	1878866	1879978	reverse	-1
a013	genome02	gene06	1880194	1880832	reverse	-1
a014	genome02	gene07	1880886	1881323	reverse	-1
